publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:21:09Z,@residentevil999,ironi sekali temanya tentang anak muda justru anak muda yg ga datang 😂😂😂😂,0
2023-12-07T15:20:55Z,@ryanpratama5162,Satu lagi hilang ya,0
2023-12-07T15:20:36Z,@kinan4450,"dengan sering absennya gibran, mungkin semakin banyak masyarakat yang  sadar bahwa dia belum layak jadi cawapres. kecuali bagi mereka yang lebuh suka emot2 gemoy..",0
2023-12-07T15:19:46Z,@MY-studio7,Wait... Tema nya &quot;Mencuri Hati Kawula Muda&quot; tapi ko calon yg anak muda ga dateng? Mungkin ada yang bisa menjelaskan?,0
2023-12-07T15:19:30Z,@kimberlykerrigriffth6213,Halah belum tentu dia mampu<br>Masih bocah ingusan<br>Paling kaga becus<br>Itu akan membuat hancur negara loe,1
2023-12-07T15:19:28Z,@jamesalfaridzy2298,Tidak hadir adalah tanda ketidak beranian. Gibran menunjukkan sisi buruk yang tidak bisa di contoh oleh generasi muda,0
2023-12-07T15:19:15Z,@adiwijaya3103,"Kayaknya pemilihan Cawapres di lihat nya cuma 2 aja, ( yg satu lagi kayaknya halu ) Jadi cukup 2 aja... Calon Cawapres.. kelihatan.",0
2023-12-07T15:17:17Z,@hellenmelati5980,Apa cuman gw yang mikir cak imin lebih pinter daripada anies?,0
2023-12-07T15:16:14Z,@noonakpop430,Yang satunya mana? Katanya  mewakili generasi milenial,0
2023-12-07T15:16:00Z,@saifasyie8700,"Luarbiasa cak Imin dan pak mahfud... Saya tetap pilih cak Imin wakil presiden 2024, Amin menang.  Amin ya Allah",0
2023-12-07T15:15:00Z,@ansamoiri7363,"Yg benar itu Asam Sulfat pak Prof, bukan Asam Folat",0
2023-12-07T15:14:57Z,@erusaputra948,Gibran suruh gini panas dingin wkwkwk😂,0
2023-12-07T15:14:54Z,@bhaktiharibowo8695,KALAU YANG SEBELAH DATANG SUDAH PASTI PLANGA PLONGO..YANG LAWANNYA SAMA2 PERNAH DUDUK DI KABINET...,1
2023-12-07T15:14:37Z,@MusicPlanetbiru,"<a href=""https://www.youtube.com/watch?v=KQrsNCEoO-g&amp;t=14m58s"">14:58</a> emang ada yang wapres yang ga berfungsi? o iya. Di Konoha",0
2023-12-07T15:14:32Z,@ggchanel517,Yg satu lagi cuma berani kampanye sama emak2 yg tingkat oendidikan rendah biat bsa ngibulin,0
2023-12-07T15:13:05Z,@ernacheer2785,"Aneh cawapres yg satu nya kok ga berani tampil, tapi TKN Paslon no urut 2 koar2 klu siap debat tampil.disini aja menghindar alasannya BAGI2 SUSU untuk ibu2 hamil biar ga kekurangan ASAM SULFAT😂😂😂",0
2023-12-07T15:12:50Z,@ggchanel517,Yg satu lagi mana?  Gak ada ilmu dan wawasan yah.. Krna dipaksa maju sama bapak,0
2023-12-07T15:12:26Z,@trisnamulyana3434,"<a href=""https://www.youtube.com/watch?v=KQrsNCEoO-g&amp;t=20m53s"">20:53</a> kesentil ga tuh 😂😂😂",0
2023-12-07T15:11:51Z,@BalitaBocil,Keliatan gus imin lebih visioner lebih berwawasan,0
2023-12-07T15:11:48Z,@rahmat9561,Hanya kecurangan yang bisa mengalahkan Amin. Semoga Amin menjadi presiden RI Indonesia Amin ya rabbal alamin.,1
2023-12-07T15:11:16Z,@dahliadahlia9385,👍👍😍😍,0
2023-12-07T15:10:45Z,@wawangunawan8640,yg ke 5 asam jawa😢,0
2023-12-07T15:09:40Z,@tbsampurna8788,Gue Kate jg apa. Hahaha,0
2023-12-07T15:08:04Z,@pastisukses8309,"ORANG INTROVERT,PEMALU KOQ BERANI2 NYA JD WAPRES😂😂😂",0
2023-12-07T15:07:16Z,@RIYA.26,Cawapres no 2 gak hadir.. kalo emang belum siap jangan dipaksa maju.. kasian,0
2023-12-07T15:07:15Z,@muhammadaris4374,Sibocah baru balajar Bab 1 😅😅<br>Meriang dbat dg prof dan wakil DpR,0
2023-12-07T15:07:07Z,@daimimam2682,"Kasihan calon karbitan makin cemas padahal harapan hadir karna ingin melihat tampili seperti apa, jgn trs menghindar dan cari aman, gus imin sangat tdk setuju kartu prakerja d terusan gax ada manfaatnya buang biang duwit dampaknya tdk ada hny d korupsi ajah, padahal dunia internet bukan cuma kreator ajah dlm gime pun bs menjadi penghasilan",0
2023-12-07T15:05:29Z,@pastisukses8309,"TADINYA MAU PILIH PRABOWO,,LIAT WAKIL NYA,PENGECUT,,,jadi ogah deh hehe",0
2023-12-07T15:03:59Z,@atejuhana7091,Tv one memang beda... bisa hadirkan saat polemik di masyarakat tentang  aturan2 yg gak jelas muncul... namun TV one bisa tampil lebih awal...  terlihat sudah  kecurangan KPU  saat ini... ternyata  tidak adanya  debat cawapres dikarenakan adanya  Debatos Phobia dari salah satu cawapres 😊😊😊,0
2023-12-07T15:03:53Z,@gunawandwinugroho7077,Gama penerus JKW + penegakan korupsi lebih tegas..,0
2023-12-07T15:03:46Z,@burnofpro2072,Percuma 01 dan 03 debat panjang lebar toh sudah diatur siapa yang menang 🤣🤣🤣,0
2023-12-07T15:03:43Z,@mangeten5447,Mgkn Gibran lagi nntn dn dlm hatinya bilang &quot;lo yg debat ttp gw yg bakal menang&quot;,0
2023-12-07T15:02:53Z,@muhamadreznufirsyawardana8205,"gayeng bosku, terima kasih tv one telah menghadirkan program yg berkualitas",0
2023-12-07T15:02:47Z,@kangborjuchannel9619,Gibran rakabumi raka kemana ya,0
2023-12-07T15:01:01Z,@lanzgaming05,Aku serius nanya ini<br>Apa cuman 2  wapres yang akan maju di 2024.?,0
2023-12-07T15:00:58Z,@putrinursaadah9770,Anak muda masih jagoin nomer 2? Haih lelucon😂,1
2023-12-07T15:00:54Z,@trisnamulyana3434,Ingat guys kalo ada undangan diusahakan hadir.. berat nanti dikucilkan di circle loh,0
2023-12-07T15:00:32Z,@wawangunawan8640,mari kira pilih pemimpin yg nyata ada orangny bukan yg gaib karna yg gaib suka munca mencle akibat asam ooooratnya kambuh,0
2023-12-07T15:00:04Z,@sannsann3984,ngomongnya selangit pakai bahasa asing di waktunya tampil debat gak muncul !!! Kok kocak yaa,0
2023-12-07T14:59:52Z,@user-wr4zk6oy1s,Debat tidak pernah hadir tapi survei pling tinggi ruwet wes,0
2023-12-07T14:59:52Z,@wahdydelta6384,Ahhh bang Ege 😂😂😂 asam folat😅😅😅,0
2023-12-07T14:59:51Z,@MusicPlanetbiru,Ya sudah. Gapapa. Penonton TV One skip nomor 2 ya.,0
2023-12-07T14:59:41Z,@zezen9124,"Debat 🤣🤣🤣 itu bukan utk rakyat kecil bro, itu utk tontonan orang&quot; politik yg pinter bicara .. Yach cuma ngoceh saja pinter 🤣🤣🤣...<br>Kocak dong ...",1
2023-12-07T14:59:28Z,@jamalmunthe4969,Mana Pohon belimbing ya..?,0
2023-12-07T14:59:15Z,@garislurus7872,"Cak Imin sebenernya banyak isi di kepalanya, hanya kadang terglorifikasi guyonnya 😂",0
2023-12-07T14:58:53Z,@residentevil999,Yg bilang pasangan No.1 yg ingin debat cawapres ditiadakan kelihatan sekali bohongnya,0
2023-12-07T14:58:36Z,@alllive5955,Dalam hati salah satu capres berkata &quot; ini kok pemilihannya lama banget yah &quot; 😂😂 takutnya hafalan saya entar hilang🫣🫣🤣🤣🤣,0
2023-12-07T14:57:40Z,@daengtachanel9522,"Sama2 cerdas, yg tidak cerdas itu yang tidak hadir, tapi saya milih AMIN",0
2023-12-07T14:57:20Z,@atejuhana7091,"Kedua cawapres mumpuni dan mempunyai kemampuan  yang relatif  tinggi dalam berdialog... keilmuan  baik secara akademis, politik , birokrqsi dan pengetahuan umumnya sangatlah tinggi... keduanya  memang pantas  ada di kursi wapres...  ❤❤❤ <br>Utk memilih  masih tunggu  debat2 paslon ... 😅😅😅 belum bisa menentukan😊😊",0
2023-12-07T14:56:51Z,@saifasyie8700,Saya dukung Amin presiden wakil  presiden 2024,0
2023-12-07T14:56:47Z,@abiummifatimahaz-zahra1351,Insyaallah AMIN RI 1 ☝️,0
2023-12-07T14:56:38Z,@user-dt6eo4ie9s,Sebenarnya itu bagaimana ya? Calon Presiden ada 3 tapi kok Cawapresnya cuma 2 yg selalu muncul di dialog²² politik. Apa sesibuk itu karena masih muda???,0
2023-12-07T14:56:38Z,@MrSarekogiant,"jadi mbayangin disitu Gibran ikut tampil... <a href=""about:invalid#zCSafez""></a>",0
2023-12-07T15:02:31Z,@KanbisaBisaa,Plonga...plongo,0
2023-12-07T14:56:13Z,@dangdutekskusif9195,Gen z dan x sekarang adalah hasil pendidikan dari rezim 5 dan 10 th sebelumnya yg ada justru Pembodohan Jgn menyalahkan kami. Insyaallah AMIN atau GAMUD bisa memberikan pendidikan politik  sehat bagi gen z x setelah kami.,0
2023-12-07T14:56:01Z,@lukiabizar478,Yang mau perubahan pilih AMIN.. Amin.. ❤❤❤,0
2023-12-07T14:55:11Z,@muhammadsiswanto159,Kedua²anya cawapres mantul,0
2023-12-07T14:54:58Z,@zurhaida2235,Cawapres semoga sehat dan tetap fit menjelang hari h PEMILU...,0
2023-12-07T14:53:48Z,@kangtata70,Mas Gibran sudah bobok manis.,0
2023-12-07T14:49:43Z,@residentevil999,Anak Pak Lurah Ga bisa hadir rumornya lagi ngelem asam sulfat 🤣🤣🤣🤣,1
2023-12-07T14:48:52Z,@user-cc1or6it5q,Puas kita tvone yg telah menampilkan debat diskusi sperti ini bagi capres /cawapres ...biar ketahuan kwalitas jiwa nya ide dan gagasan utk indo kedepan,0
2023-12-07T14:48:13Z,@macamragam8321,Kalau boleh memilih... Dua capres ini.. Pasti saya pilih keduanya... Jujur dan pintar..,0
2023-12-07T14:47:28Z,@ilyuker3749,Cawapres no 2 waktuu nyaa lg mik cucuu...jd gk dtg...,0
2023-12-07T14:47:03Z,@qomaruddinthok8408,"01 teoritis n imajiner, 03 konkrit n realistis..",1
2023-12-07T14:46:23Z,@ambaringram2985,"Tanya ke Bang Raffi, kenapa calon cawapres yg Anda dukung tidak hadir?",0
2023-12-07T14:45:19Z,@CandraMintul-ru5it,Lho pak Prabowo dan gibran kok gk hadir ?,0
2023-12-07T14:45:12Z,@durtimchannel7734,kandidat calon presiden kita cuman ada 2,0
2023-12-07T14:44:50Z,@probopribadismchannel1072,Gibran mana 😂,0
2023-12-07T14:44:19Z,@DillaAzzahra-fw5in,Cak imin nih kelemahannya ada di waktu jd gampang panik hahaha...,0
2023-12-07T14:44:11Z,@arianadamisya2793,tetap anis dan muhaimin orang2 amanah..,0
2023-12-07T14:44:05Z,@putrinursaadah9770,Terimakasih gus imin dan prof Mahfud ✨♥️,0
2023-12-07T14:43:43Z,@Turangga634,Gue sih ikut ujian ga ikut ujian gue pasti lulus naik sekolah..... Ko bisa?? <br>Kan Bokap gue kepala sekolah😅😅😅😅😅😅,0
2023-12-07T14:43:12Z,@denikurniawan9642,Forum ini dianggap ga penting untuk cawapres No 2.,0
2023-12-07T15:07:08Z,@trisnamulyana3434,Makanya heran deh. Padahal kalo hadir secara tidak langsung mengiklankan dirinya sendiri. Gratis pula. 😂😂😂. Ikut debat ga resmi kayak gini tuh lebih efektif daripada pasang baliho seribu titik,0
2023-12-07T14:42:12Z,@sangroupbussid164,Sehat sehat prof mahfud md🙏,0
2023-12-07T14:41:47Z,@wahyualesh6598,Yg no.2 gak dateng??,0
2023-12-07T14:41:43Z,@arianadamisya2793,hahaha mana lagi satu orang cawapres...ingusan najsblu baik karna anak presiden <br>Ayah mu yg salah kamu tiada kemampuan tpi dipaksakan oleh ayah mu jadi cawapres..,0
2023-12-07T14:41:33Z,@egaofficial8148,"Lah, yang atu kemana..Bukalah mata, rasa dan nalar atas fakta ini.Memilih pemimpin adalh menentukan nasib kita semua saat ini dan 5 tahun ke depan.",0
2023-12-07T14:40:39Z,@fajarhamzah,Sayur belimbing lagi mabok asam sulfat,0
2023-12-07T14:40:14Z,@user-gg5fd9xl6h,Seru sengit banget tapi tidak saling menjatuhkan,0
2023-12-07T14:39:43Z,@kangtata70,Gibran pasti tambah mengkeret.,0
2023-12-07T14:38:19Z,@maduwinmaduwin984,Cawapres 02 kemana TDK ada kosong bangku nya,0
2023-12-07T14:38:14Z,@user-wh1qm7wy3h,Hlo kok bisa ya padahal calonnya 3 kok yg dialog cuma 2 apa yg 1 sudah mendapatkan kartu joker / karpet merah 🤔🤔🤔,0
2023-12-07T14:37:46Z,@lukman-cx5rd,1+2=3 Anis + Prabowo = Ganjar❤Mahfud No. 3 Gaspoll,1
2023-12-07T14:36:59Z,@ricasenggarpratama1476,ANTI PRABOWO,0
2023-12-07T14:35:48Z,@risyani28,Coba Gibrank Datang... .  😅,0
2023-12-07T14:34:05Z,@mohammadyusup4410,"Prof Mahfudz mmg hebat. Jujur cerdas, dan menjawab persoalan tegas, lugas dan tepat",0
2023-12-07T14:33:43Z,@eggifhyo5950,Gda alasasan bagi yg g hadir..karna yg hadir pun ga bnyk alasan..Cawapres ky begitu masih mau di pilih?Klo yg lawak emng ccoknya sm yg planga plongo..,0
2023-12-07T14:33:17Z,@iamariyansah21,No 2 sibuk bagiin susu sama prepare asam sulfat🤣😂,0
2023-12-07T14:33:01Z,@aywano1426,Makanya aqu gak pernah ragu untuk memilih prabowo gibran.<br>Mau hadir mau kagak bodo amat.<br>Hati qu ttp kekeh memilih prabowo gibran.<br>222<br>22<br>2,0
2023-12-07T14:32:11Z,@fatmafat9721,"Si asam sulfat, kok gak hadir ya.. Pen tau alasannya😂",0
2023-12-07T14:31:29Z,@klenekleins9817,Mana si belimbing sayur ... MKMKMKMKMK .... 🤣🤣,0
2023-12-07T14:31:28Z,@Turangga634,Kalau yg korupsi di hukum mati masuk ga di negara kita????,0
2023-12-07T14:31:18Z,@suparnosariban2139,Ngapain debat...toh pemenangnya sudah ditangan Panitia...panitia punya bapak saya,0
2023-12-07T14:31:04Z,@sitirisa2955,"Insya Allah Pak Ganjar/ Pak Mahfud,tahun depan memimpin Indonesia",0
2023-12-07T14:30:44Z,@IKN45,Sehat selalu Pak Mahfud MD 🙏🏻🙏🏻🙏🏻,0
2023-12-07T14:29:32Z,@AdeHendriana24,Mantap tv one apresiasi untuk ke 2 cawapres yang mempunyai nyali untuk hadir mantap pokoknya,0
2023-12-07T14:28:40Z,@akangbareto4621,Lah blimbing sayur kebiasa&#39;an kalau di undang ga mau datang,0
2023-12-07T14:27:51Z,@thanos0629,Alasannya apa kenapa tidak datang 🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔🤔,0
2023-12-07T14:27:42Z,@muhirudinazhari7970,Prof. Mahfud gak cocok jadi cawapres cocoknya jadi capres,1
2023-12-07T14:27:25Z,@yopanzen,Anak nya mukidi kaga niat debat apa ngilang mulu pecat aja,0
2023-12-07T14:26:40Z,@user-xh2lu9ho3u,Debatphobia jadi ngak bisa hadir??,0
2023-12-07T14:25:42Z,@Chanelcahplosok,Ojo dukung Gibran... Gibran cawapres kurang cerdas 😅,0
2023-12-07T14:25:37Z,@risky171,Jarang tampil tahu tahu menang,0
2023-12-07T14:24:57Z,@prabucakrawala479,Cawapres asem sulfat gk datang .. payah blimbing sayur 😂😂,1
2023-12-07T14:24:44Z,@rifaiyusuf6555,Blimbing sayur ngacir ketakutan. Dasar sontoloyo.,1
2023-12-07T14:24:17Z,@andidoank4560,"Klo sang anak hadir disitu, kira2x apa lah yg keluar dari pemikiran dia utk menjawab semua pertanyaan audience ?",0
2023-12-07T14:24:11Z,@aywano1426,Makanya aqu gak pernah ragu untuk memilih prabowo gibran untuk menang.<br>Mau dia hadir mau kagak bodo amat.<br>Hati aqu ttp kekeh memilih prabowo gibran menangggggg.<br>222<br>22<br>2,0
