publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T13:54:43Z,@watumalang8184,Kasian Prabowo akibat napsunya pingin jadi presiden joget2 telanjang bulat di jalan juga mau persis orang sinting😂😭🤪😭😂,0
2023-12-07T11:48:26Z,@user-tn7tl4nq2p,gemoy di pakai untuk menutupi kekuranganya,0
2023-12-07T10:46:32Z,@bambangdwiraharjo695,Cara kampanye ya terserah aja asal ga ganggu yg lain.,0
2023-12-07T07:31:24Z,@alfonboro6092,Prabowo jadi keranjingan joget Gemoy untuk menutupi kekurangannya dalam menjelaskan visi misinya yang sering blunder dengan pertanyaan audiens. Prabowo berjoget karena dia merasa yakin akan menang pilpres 2024 karena dia didukung Jokowi. Tapi jika ternyata Prabowo kalah pilpres maka joged Gemoy akan ditinggikan dan Prabowo akan kembali ke karakter aslinya: &quot;Lempar HP &amp; gebrak gebrak meja&quot; ......lihat aja nanti 😅😅,0
2023-12-07T03:01:42Z,@user-mr8rt2so2z,"Semoga pak prabowo jadi presiden,yg sudah pasti mah yaaaa Ge -Ma.......❤❤",3
2023-12-06T21:41:59Z,@user-xb4ws8pl3t,Gemoy. Nomer2 muak lihatnya minim gagasan kok enggak lucu,0
2023-12-04T18:14:16Z,@user-sy6ce3ss6f,"Preeeeeeet,,GAGASAN nya manaaaaaaaaa?<br>Joget&quot; trus ky ondel&quot;,,,,ngaca ngapa mbah,,,ora ada pantes&quot; nya pissan,,,rakyat sdh cerdas mbah,,&amp; umur tdk bs d bohongi,,,salam waras,",0
2023-12-04T13:54:06Z,@tantogeyong9601,Edentik dgn orang mabuk utk menghilang penat dan stres..joget gk mabuk gk enak...,0
2023-12-04T13:27:23Z,@laodemuktamar717,Tidak lucu..tidak bermutu,0
2023-12-04T07:25:03Z,@bendalangka1821,"Kami butuh Presiden yg beradu gagasan di International, Presiden yg adu bakat di America Got Talent... 😂😂😂",0
2023-12-03T20:21:19Z,@user-sy6ce3ss6f,"Joget trus mbah bwo,,,,,nanti kl kalah lg jg nngis y,,,,joget lg aja,,,capres ko ngono,,,,minim GAGASAN,,,<br>Mn sh noel,,,gnjar lbh banyak gagasannya d bnding mbah bwo yg cm joget g jlas,,,ingt umur mbah,,,,",1
2023-12-02T15:29:23Z,@hiskiasitompul3678,"Buat anak muda, Hati-hati dalam memilih, cek dan baca sejarah hidup masing-masing paslon. Perkuat bahan bacaan sejarah. Misalnya, bongbong marcos adalah anak penguasa rejim otoriter ferdina marcos.",0
2023-12-02T14:45:12Z,@endangsamsung2931,8,0
2023-12-02T13:51:24Z,@AhmadKhoiri-jr4ti,Gemoy itu singkatan dari GEMBROT  LETOY ( loyo )&quot;.,0
2023-12-02T13:45:24Z,@tirtaaruem8589,Semoga Gusti Allah ngk mengijinkan gemoy mimpin negara Indonesia..,0
2023-12-02T04:44:19Z,@salzalshif,Gemoy Cengar Cengir Otak Kosong Gagasan,0
2023-12-01T15:06:03Z,@bond07282,Yg waras bisa berpikir...kita milih presiden atau tukang joget ?😂😂,0
2023-12-01T12:06:07Z,@newsrusiaukraina164,Jelas saya pilih ganjar agar nonton bok3p tdak pakai vpn lg,0
2023-12-01T11:56:00Z,@wagiyodini5824,"Lihat saja malu, .asa begitu mau dijadikan presiden😂😂😂😂😂",0
2023-12-01T10:52:32Z,@muhammadkasmudi2345,NKRI butuh pemimpin yg cerdas bukan yg gemoy udah pikun pinter joget apa kata dunia punya pemimpin vuma bisa joget sama gebrak meja wakilnya planga plongo cuma bisa ngomong saya udah ada disini pak 😅😅,1
2023-12-01T10:51:07Z,@dipacandra6372,Makin mantab prabowo gibran<br>Menang 1 putaran,0
2023-12-01T07:32:48Z,@ibrahimdev6531,Gilani prabowo pakai😂 acara gemoy”😢 sangat menjijikan lihat ya..itu gagasannya siapa itu,0
2023-12-01T07:08:37Z,@user-dm6qt7gz8z,Lanjutkan.....✌️✌️✌️,1
2023-12-01T05:34:25Z,@edindahmotor211,"Biasanya kalau lagi stresss berat ,untuk menghibur diri berdangdut dan berjoget karena pendukung sdh pindah ke no 1 AMIN dan no 2 GA-MA jujur tegas berkualitas penuh pengalaman dan anti KKN.",0
2023-12-01T05:12:48Z,@pito6979,Gemoy itu strategi cerdas dari Tim kampanye nmr 2,0
2023-12-01T04:57:31Z,@user-fy8uk3ki1p,Prabowo gibran yess ✌️❤️❤️,0
2023-12-01T04:57:18Z,@adhiatmo2505,astaghfirullahaladzim,0
2023-12-01T04:19:43Z,@wulungsutrisno7562,GEMOY = GEMbrot letOY = BADUT.,1
2023-12-01T03:42:45Z,@RudiRustandi-mr3ms,"Sy akan nonton debat capres dulu sblm memilih, sy ingin butuh presiden yg cerdas dlm menjawab pertanyaan panelis bkn yg sekedar gemoy dll. Kita butuh pemimpin yg bs menjawab tantangan kedepan buat negara, bkn yg asal menjawab pertanyaan panelis. Cerdas lah dlm menentukan pilihan demi masa dpn negri kita yg tercinta",4
2023-12-01T09:48:39Z,@Chimpunk729,Cerdas,0
2023-12-04T02:19:31Z,@user-re7nw4zs6v,"Bangsa butuh pemimpin yang tidak di atur siapapun , bisa benar” merealisasikan janji nya . Engga omdo bro 😂",0
2023-12-01T03:07:14Z,@emharohadiromar8183,"Prabowo Presiden SETRESSS, JANGAN DIPILIH!!!",0
2023-12-01T02:53:35Z,@yepristualaka8261,Jelas gemoy ❤❤❤,2
2023-12-01T02:36:09Z,@chunthet6739,Bagi orang STRESS .. maka cocoklah joget GEMOY PRABOWO ..... sudah tua bau tanah KAKEAN POLAH ... <br>Bagiku joget GEMOY prabowo adalah GENIT MURAHAN LETOY ..... Bagaiman jika menjadi presiden ?????? ... <br>Joget kaku kaya robot BLAS GA LUCU ...,0
