publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:35:26Z,@Teman_Bambank,Gak kebayang kalo si anu yg ditanyai begitu....... pasti planga plongo,0
2023-12-07T15:32:16Z,@Jokowi-prabowo,Luar biasa..,0
2023-12-07T15:14:44Z,@Abe-777,Berkelas👍,0
2023-12-07T15:10:40Z,@enirohaeni3495,"saya sangat berharap diskusi diskusi cerdas ini dengan mahasiswa dan akademisi di isi oleh nara sumber capres cawapres lain, seperti prabowo dan gibran",0
2023-12-07T15:07:18Z,@ariskurniawananumi4375,Capres terbaik ..semoga terpilih pak anies,0
2023-12-07T14:43:41Z,@masroulhuda4981,RI 1 2024 Anislah orangnya,0
2023-12-07T14:28:02Z,@HambaAllah-nw2md,Capres yg lain berani ga ya,0
2023-12-07T14:20:58Z,@zfk27,Mestinya tanya juga yg ginian ke prabowo atau Ganjar??????????😄 😄 👍👍,0
2023-12-07T14:18:31Z,@imhmns3387,Kira2 capres lain bisa gk ya,0
2023-12-07T14:12:02Z,@didikurniasandi3746,Kereenn bangettt pak 🎉🎉❤,0
2023-12-07T14:09:43Z,@HambaAllah-nw2md,Capres lain pasti tdk mampu lah,0
2023-12-07T12:39:10Z,@imamsuprantiyo9794,Maaaantaaaab 👍👍👍🇮🇩🇮🇩🇮🇩,0
2023-12-07T12:33:27Z,@kuswantokuswanto1626,Terlalu tinggi angan angan yang gak logis hanya untuk mencari simpati semua golongan,0
2023-12-07T12:23:25Z,@ratnadewi9122,Kayak lagi dengar kuliah umum gratis,0
2023-12-07T12:11:54Z,@jhonmanu,"Hanya pak anis capres yang wawasanya luas,10 tahun terakhir",0
2023-12-07T12:02:12Z,@otherside7332,Sesi yg paling ditakuti no 2😂,1
2023-12-07T11:59:26Z,@gloobowo5403,Jangan bawa anak kecil ke forum ini,0
2023-12-07T11:47:14Z,@gloobowo5403,Saya orang yang tidak mengerti.. <br>Kenapa masih ada orang yang memilih ganjar dan prabowo 😅,0
2023-12-07T11:33:57Z,@user-jp6vm7ww3p,Coba wowo suruh jawab pertanyaan seperti itu bisa jwb engga ya,0
2023-12-07T09:46:07Z,@armilaguna2939,"MasyaAllooh gak bosen bosen mendengar penjelasan beliau,,sem9ga bapak anies menjadi RI 1 kedepanya AMIN AJA DULU ❤❤❤❤",0
2023-12-07T09:40:17Z,@marianti7828,"Kalau capres yg lain di cecar pertanyaan seperti ini  bagaimana ya ,jadi penasaran.",0
2023-12-07T09:35:09Z,@AdiRahayu-sh7sc,Ga kebayang ini yg di tanya gibran,0
2023-12-07T09:07:49Z,@mayamaha5079,Ahirnya pilihan saya berlabuh di pak Anis,0
2023-12-07T08:42:39Z,@paparumi121,3 negara yg akan di kunjungin.sblm dia jawab dalam hati gw dia akan blang palestina.ternyata bener nyebut palestina..gw ga akan ragu nyoblos nomer 1,0
2023-12-07T12:03:03Z,@Garagesnakehead,"Who r u? Dia juga ga peduli lu mau pilih dia atau kaga, penting amat tuh. LMAO",0
2023-12-07T08:36:43Z,@wandahabibi8513,Pilihanku yg terbaik nomor 1,0
2023-12-07T08:18:08Z,@abusigiet6246,Coba dong calon capres lain tanya anies is the best,0
2023-12-07T08:17:15Z,@kpdigiprint4480,CERDASSS!!!,0
2023-12-07T08:15:57Z,@user-nr5jx3zc9w,MASYAALLAH... Semua rencana2 mulia utk Indonesia tercinta ini bgi Pak Anis sdh ada di benak dn hati beliau.. <br>YA ALLAH Ridhoilah Pak Anis utk mimpin NKRI ini thn 2024.. <br>Krn kami Yakin Negeri ini butuh Pak Anis tentunya atas IzinMU Ya Robb.. Aamiiin3 🤲🤲,1
2023-12-07T08:11:33Z,@masattayatv5752,kelas jawabnya WAWASANYA LUAS mantap pak Anis,0
2023-12-07T07:59:52Z,@bowpoco,"Nyesel waktu saya masih dalam kandungan, nampaknya ibu saya kurang konsumsi asam folat",0
2023-12-07T07:39:41Z,@ismulbat,"Pinter engga ketuaan engga kemudaan,.. semoga rakyat Indonesia banyak yang melek .. mau memilih yang cerdas memiliki visi dan mengutamakan nilai bukan uang atau keuntungan saja",0
2023-12-07T07:26:49Z,@qqq5757,Masyaallah .. kog ada ya orang sprti Pak Anies cerdasnya gk ketulungan..,0
2023-12-07T07:11:31Z,@sudradjatdjalal5494,Pertanyaan yang sulit untuk dijawab untuk ukuran orang biasa. <br>Tapi kita bangga dengan pemikiran wawasan kebangsaan yang luar biasa.<br>Indonesia akan rugi dan kecewa  jika pemikiran dan gagasan seorang Anis tidak terpilih.,0
2023-12-07T06:55:25Z,@rudisalam4610,"Yess i,am pilih Anies",0
2023-12-07T06:46:54Z,@julianapadlan9996,Gasskeun Amin 🙏,0
2023-12-07T06:39:35Z,@HajiHadiSutikno-ts9ux,"Memang sudah tidak bisa diragukan lagi, Aanies Capres paling cerdas, bersih, berwawasan Internasional. Semoga semua tidak salah pilih.",0
2023-12-07T06:26:02Z,@aangchan1526,GATOT KOCO.. yee 🎉 memang jika ada GATOT KOCO di list SUPER HERO.. maka dialah yg terkuat dan terSAKTI..❤,0
2023-12-07T05:29:17Z,@yasinjufri7468,bismillah no 1 amin,0
2023-12-07T05:27:34Z,@user-tp9xy2zq3h,NGOMONG AJA LO HEBAT TEORI DOANG..!!!<br>PANGAN MAHAL BERAS MAHAL MALAH FOOD ASTATE DI KRITIK INI NYAMBUNG APA GAK LOL..???,0
2023-12-07T04:57:28Z,@salmanelfarisi9026,Capres tercerdas...🎉🎉🎉,0
2023-12-07T04:33:33Z,@gadinglesta9559,"ga bisa ngebayangin ini klo capres lain yg ditanya kaya gtu pd bs jawab nggak yaaa,.... <a href=""about:invalid#zCSafez""></a> spertinya harus banyak Lembaga yg mau mencerdaskan masyarakat Indonesia dg menghadirkan semua capres/cawapres dalam forum Argumentasi Nasional sebelum Pilpres,....",0
2023-12-07T04:00:25Z,@user-jw1jk5nj6w,Keren pak anis. Jalan terus,1
2023-12-07T03:59:47Z,@katekgawemedia,"Masa Depan Indonesia memang pantaslah diamanahkan ke sosok Pemimpin untuk semua sekelas ANIES. Makin cerdas saya, makin sadar saya akan kecerdasan Bpk Anies Rasyid Baswedan.",1
2023-12-07T03:58:50Z,@SEPUTARBEBEK-ml6hz,Bismillah pak anis,1
2023-12-07T03:40:19Z,@katekgawemedia,"Pakam Mang Anies ini, pacak galo jawab pertanyaan secara cepat, tepat dan cerdas.",1
2023-12-07T03:23:03Z,@agustimbel5199,Sdah tdk d ragukan lg Bpak Anies adalah pemimpin yg layak untuk memimpin negeri ini.,0
2023-12-07T03:17:14Z,@baguspujilaksono8768,ini baru berbobot diskusinya.,0
2023-12-07T03:10:29Z,@aswatamaps,Jelas sudah. Ketahuan Anies nggak ndukung dan nggak akan melanjutkan pembangunan IKN. Visinya pendek dan cuma mikirin yang rutin2 aja.,0
2023-12-07T02:12:31Z,@anggiratnadewi7341,"sayang skl punya putra yg terbaik bangsa sprti pak Anis Rasid Baswedan di sia&quot;kan,bangsa indonesia akan menyesal",1
2023-12-07T01:50:54Z,@wawangunawan3817,smart and insightful answers,0
2023-12-07T00:57:13Z,@ichwanonggi228,MAU TANYA APA SAJA SILAHKAN AKAN DIJAWAB SEPERTI AIR YG MENGALIR BERSAMA BAPAK PROF H ANIS BASWEDAN PALING KREN PALING TOP PALING ADIL KREN AMIN NO.1. INGAT YA NO.1. OKEEEEEEEE I.,0
2023-12-07T00:55:33Z,@ferli6086,"Sudah saatnya Indonesia memiliki pemimpin yg pintar, cerdas dan berwawasan luas",0
2023-12-07T00:54:30Z,@nurulhidayah7716,Siapa saja yg dihadapi Anises slalu puas dan  senang ... Cerdas smart dan relegius....,0
2023-12-07T00:40:18Z,@dautimansah-gi8rq,Orang ini berwawasan luas tapi bangsa kita tidak tahu dan malah mejelek2 kan,0
2023-12-06T23:23:41Z,@dudysatria5046,Jawab itu keraguan calon investor ikn terhadap keraguan mu 😂😂😂😂😂dan 😂😂😂😂,0
2023-12-06T23:22:51Z,@dudysatria5046,Pertanyaan yang paling penting: kapan lengser????????????,0
2023-12-06T22:49:20Z,@AbdulRahman-ge1rf,Pokokx anies the best lah...,0
2023-12-06T22:33:23Z,@RanahSultra,Anies Baswedan untuk Indonesia Raya 2024. Amin..🤲,0
2023-12-06T20:59:01Z,@goodpeoplegoodchannel1084,Ya Allah kandindat yg lain sptnya g ada yg bs mengunggulin Anies dlm memegang kepemimpinan mbok ya legowo turun gt ......beneran kl legowo turun kalian adalah pahlawan bangsa yg sebenarnya pahlawan dimasa yg spt ini...... kalian naik lg stlh dua periode Anies menjabat belajarlah dulu dr kepimpinan Anies n teruskan langkah²nya biar Indonesia ada perubahan yg menjd lbh baik.......please tolong........ ini bukan sekedar merebutkan posisi pemimpin tp ini adalah pertaruhan Indonesia akan menjadi negara spt apa.....jgn smp Indonesia rakyatnya semakin tertekan dgn kebijakan² yg kl di nilai lbh menguntungkan kaum elit n korupsi semakin merajalela rakyat semakin tak berdaya......<br><br>Kami ingin perubahan itu Krn Anies telah membuktikan itu di jakarta.......,1
2023-12-06T20:33:06Z,@user-cc7rl1yw9r,Amin🤲,0
2023-12-06T17:38:58Z,@Kak_Hatta,"Beda pilihan itu biasa, yang luar biasa itu tetap rukun dan damai dalam perbedaan",0
2023-12-06T17:31:45Z,@abdulkadir2362,Saya yakin pilih pak anis,0
2023-12-06T17:34:30Z,@abdulkadir2362,Saya pedagang kaki lima saya pilih pa pak anis,0
2023-12-06T17:30:00Z,@user-bf5qd4dy4n,Sekian 3 capres hanya pak anis lah yang mampu menjawab pertanyaan,0
2023-12-06T17:00:34Z,@layshad9538,Sy kira mas gibran punya kapasitas yg sama jika diundang di event yg seeupa,0
2023-12-06T16:44:50Z,@HarexGuru,Yg ngejelekin anis pasti dia buzzer,0
2023-12-06T16:37:02Z,@irianto2330,Bangga mentang 2 bisa ingris,0
2023-12-06T16:34:11Z,@irianto2330,Pret,0
2023-12-06T16:00:28Z,@user-dq6bc1gi2p,Anis cuma pinter teori kerja nol besar,0
2023-12-06T15:58:50Z,@user-dq6bc1gi2p,Anis jangan cuma ngebacot doang ngurus jakarta aja amburadul gagal ngomong aja tinggi kerja nol,0
2023-12-06T15:58:49Z,@marlinawati6397,👍👍👍👍 bangeeet pak Anis,0
2023-12-06T15:49:33Z,@sultanahmad7602,Wawasannya di luar nalar,0
2023-12-06T15:32:48Z,@saifulahmad6064,anis smoga shat slalu semangat trus walaupun halangan menghadang smpai menjadi pres 2023,0
2023-12-06T15:32:47Z,@bocah_Mancing,We yakin Pak Anies Baswedan bakal di jegal dengan berbagai cara &amp; upaya habis2an... Krna mayoritas masyarakat yg kritis pemikiran &amp; sikap dgn semangat Indonesia yg lebih baik  akan memilih beliau..<br><br>Dan saya yakin ijazah nya ASLI dari cara penyampaian paparan atas  segala pertanyaan yg di lontrkan tidak membutuhkan waktu lama &amp; cukup masuk di dalam logika berfikir....,0
2023-12-06T15:26:50Z,@omganteng5654,"saya suka amin, tapi ga mungkin anak pak lurah kalah....",0
2023-12-06T15:23:14Z,@avinwowo,"Masya Allah, smoga Allah meridhoi perjuangan pak Anis utk mngabdi kpda nusa dan bangsa, Aamiin",0
2023-12-06T15:05:03Z,@ajcreator92,❤❤❤❤,0
2023-12-06T15:03:54Z,@m.topanafandi9296,Putra terbaik indonesia saat ini.. Bpk. Anies Baswedan.. Menang Pak Anies,0
2023-12-06T14:50:26Z,@idristhalib4298,AAAAAMIIIIIIN.,0
2023-12-06T14:20:58Z,@kopralaja8095,Inilah org yg cerdas bener&quot;pak anis itu paket kumplit yg tdk dimiliki oleh calon lain,0
2023-12-06T14:18:02Z,@galuhsukarno6496,Capres jago omong......siyohanes anies bas EDAN.,0
2023-12-07T12:06:32Z,@otherside7332,Capres jagoan lu yg jago joged  Itu  kah?,0
