publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:02:18Z,@faizfairuz7423,Debat atau tidak debat.. Yang penting negara kgk di pimpin sama petugas partai lagi,0
2023-12-07T14:58:05Z,@azizzidan111,"Disetujui pihak Psk Anies dan Pak Prabowo, 😅😅<br>Tapi sebelah kenapa seneng goreng ya krn kepanasan 😂😊",0
2023-12-07T14:47:58Z,@masboys3380,di tunggu debat cawapres tnpa capres mas gibran😂😅,0
2023-12-07T14:36:25Z,@user-qp9qm5lz9m,Pasti kocak😂,0
2023-12-07T14:27:13Z,@nghadiwibowo,Arek arek,0
2023-12-07T14:26:10Z,@user-xt4ql7eg2r,Ayooo dong Debat terbuka agar Murni debat bukan debat setingan,0
2023-12-07T14:25:27Z,@paksijaladara99,Memalukan ini bocil asam sulfat 😂,0
2023-12-07T14:14:52Z,@yahyamalang5444,"Ingat kalau debat  jgn lagi  kayak penyuluhan ,ibu hamil dan asam sulfat 😂😂😂😂",0
2023-12-07T14:12:06Z,@drbedbugs3747,"Hati-hati memandang rendah Gibran, Ingat film  Le Brio (2017). Gibran punya ilmu debat dan pengalaman debat. Debat itu bukan ceramah dan teoritis tapi ketepatan, fokus dan mudah dipahami karena keterbatasan waktu. Gibran GASPOL",0
2023-12-07T14:08:16Z,@SamsungM-sq7nj,Asam Sulfat🤣🤣🤣<br>Salam 🤟 jari🇲🇨,0
2023-12-07T13:53:41Z,@user-or2tl6xf3w,wealah nnti hoak lagi,0
2023-12-07T13:44:30Z,@Blink-ow2zi,"Maju Terus mas Gibran.. Jangan dengar kata2 orang, Saya dan keluarga besar saya selalu mendukungmu",0
2023-12-07T13:22:27Z,@user-nb7xt7wg7m,"Kalo bisa Presiden terpilih, jangan menggunakan APBN, dan jangan utang , APBN hanya digunakan untuk kesejahteraan Aparatur, pensiunan dan Rakyat miskin, infrastruktur atau dana pembangunan fisik pakai dana SDA, BUMN, hasil bumi seperti tambang emas, nikel dan yg lainnya.",0
2023-12-07T13:13:24Z,@wawancikande758,Kemlinti,0
2023-12-07T13:11:29Z,@user-nb7xt7wg7m,"Rakyat sekarang gak butuh debat, debat untuk orang intelektual saja , yg penting rakyat ingin bukti fakta, bukan janji janji saja, Rakyat ingin presiden yg bisa menurunkan listrik, BBM, harga beras , bapok, bunga bank , bebas pajak , untuk kesejahteraan rakyat, naikkan gaji aparatur dan pensiunan yg signifikan, berikan rakyat penghasilan yang tetap, pasti keluarga gak kekurangan gizi, makan disekolah gak efektif hanya buang buang uang rakyat, lebih baik uang 400 t untuk digunakan gerakan pemberian beras dan bapok, susu, telur&#39; ke rakyatnya semua gak pandang bulu, Kalo yg kaya gak mau berikan ke yg mau menerima baik&#39; itu duit atau simbako.",0
2023-12-07T12:52:16Z,@rumahbaru21,"NOTE ya liat dah percaya GUA , Debat kali ini yg lebih kena masyarakat paslon 2 sainganya ntar paslon 3 .. <br>Percaya Dah",0
2023-12-07T12:49:26Z,@saefulbahri1392,Siap siap untuk ngumpet di gorong gorong,0
2023-12-07T12:48:50Z,@khilamumtazahkhilamumtazah7987,"Debat di tv one untuk cawapres,hanya 01 dan 03 yg datang,gibran pengecut cawapres cawe cawe istana yg tidak berkwalitas",0
2023-12-07T12:47:39Z,@user-ju4ip9dh9x,Gibran kalau debat suruh pakai pempes takut ga bisa jaeab terus ngompol,0
2023-12-07T12:43:08Z,@cahyapermanagroup7984,Emang udah dapat bocoran 🤭🟥,0
2023-12-07T12:42:16Z,@dinapujiastuti9176,"Duh  bayarnya  berapa utk<br>Para dibelakang si.gibran, <br>Siapkah yg byar....he..he.....",0
2023-12-07T12:41:31Z,@user-tk1cu6in2p,Siap debat karena pertanyaan sudah dibocorkan .saya gak habis fikir bagaimana saat Gibran hadir ruang debat.diganyang dgn paslon lain yg keluar paling keringat dingin bercucuran.bisa&quot;bilang donat kliru granat 😂😂😂,0
2023-12-07T12:40:03Z,@mursidi4719,"KPU bagus hasil pemilu jg bagus,ttp kalo KPU jelek hasilx akan jadi jelek !!!",0
2023-12-07T12:36:37Z,@edyt2525,Aturan KPU kita ikuti aja 🤣🤣🤣<br>Anak mami lagi lawakan drama korea,0
2023-12-07T12:36:18Z,@doniaryanto7168,Kita liat aja orang org bodoh ini akan mempertontonkan kebodohannya..<br>Org bodoh pasti pilih samasama bodoh...😂😂😂😂,0
2023-12-07T12:31:23Z,@dedensuryadi8804,WKWK PALING NANTI DEBAT PLANGA PLONGO..NANTI DIJELASIN JUBIR NYA..😂😂idiot,0
2023-12-07T12:30:18Z,@jatilawang2619,"Awal itu manteb milih Pak Prabowo. Tapi lihat wakilnya gibran sampe bilang asam sulfat jadi mikir mikir,",0
2023-12-07T12:30:14Z,@acepmuhammadtoha6318,Hampir semua tidak percaya pada mas gibran ..... jederrrrrrrrrrr pas debat cawapres ternyata mas gibran yg paling pintar pasti buming lagi.....wkwk...<br><br>Semangat mas gibran saya sekeluarga dukung mas gibran,0
2023-12-07T12:26:48Z,@muhammadshodikin6358,Kalau tidak siap menghadapi debat lebih baik mundur saja jadi wapres.,0
2023-12-07T12:26:11Z,@banggawik1859,gibran anak kemaren sore ko nyalon wapres lah sy tidak akan pilih cawapre yg masih anak2,0
2023-12-07T12:23:58Z,@ginjengsuparyanto385,Mas gibran pasti mahir debat kusir..,0
2023-12-07T12:19:48Z,@dadangdjoehara8399,Kami tetap Ganjar n Mahpud.....dah jamgan.bnyk omong.,0
2023-12-07T12:17:21Z,@user-qq5nw5tu3c,Debat yg tepat . Dan Itu ada nilai tertentu dari para penonton diseluruh dunia !,1
2023-12-07T12:13:39Z,@bangdewa4114,Lah gibran! Belgedes cungur ngedabrus doang!!,0
2023-12-07T12:06:26Z,@PermataPermata-in9sb,😂😂😂😂,0
2023-12-07T12:04:46Z,@mustahal4958,Kau akan di prmalukan gibran .seluru rakyat menonton ..,0
2023-12-07T12:02:55Z,@hariyantohariyanto2825,"Asam  folat ya , bukan asam sulfat",0
2023-12-07T12:02:31Z,@jalanraya9535,dulu pak jokowi di remeh kan tapi ternyata pak jokowi lebih pintar dari yg meremeh kan sekrang gibran yg di remeh kan .saya yakin gibran pasti pintar alis bisa. yg menhina dan yg meremeh kan sebenar nya  yg berkatalah yg bodoh. prabowo gibran thn 2024 RI 1.,0
2023-12-07T12:02:20Z,@agusnirwansyah1543,Jahaha....udah ga sabar lihat asam sulfat debat...,0
2023-12-07T11:58:27Z,@fadlungani8836,"belum tentu orang pintar bicara bisa menang,,",0
2023-12-07T11:57:44Z,@user-ww6hf9em4l,Gara2 Gibran jdi dulu MK Sekaran KPU jdi ada2 aja nih,0
2023-12-07T11:57:19Z,@SamDarus-fs9wl,"Mana mau ngaku sibocil ingusan modal bapak nii,, dasar asam sulfat planga plongo jilid dua",0
2023-12-07T11:53:11Z,@kadiantobta7239,PKS PARTAI YANG AGAMIS..<br>BERPOLITIK LAH SECARA PROFESIONAL..<br>JAGAN SU&#39;UZON MENILAI ORANG LAIN...<br>JAUH DARI SIFAT NABI..,1
2023-12-07T11:52:53Z,@user-cr7qh9mo3c,Ndah usah ikut debat.nti di ketawai nti,0
2023-12-07T11:50:05Z,@kadiantobta7239,YANG SENSITIF ITU TEAM NYA ANIS AMA GANJAR...<br>BAPERAN..🤣🤣🤣<br><br>HANTAM MAS GIBRAN...🤭,1
2023-12-07T11:47:26Z,@tsada.j9544,sulfaat..........,0
2023-12-07T11:41:37Z,@raffiiqbal7348,"Ayo Gama kamu pasti yg paling mantap,,",0
2023-12-07T11:40:06Z,@msuri5229,"Gibran sdh mulai tenang, sdh mengahafal dn membedakan antara asam urat, asam sulfat dn asam folat.... mantap",1
