publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:30:03Z,@ana-mi2dz,mega sm amin rais yg  melengser kn GUSDUR SBGY  PRESIDEN DAN MENGGA LANGSUNG.JD PRESIDEN,0
2023-12-07T15:25:52Z,@user-bw7vo7pk1d,Mega jg ngubah mk... Dia lulusan sma bs jd wakil presiden,0
2023-12-07T15:24:38Z,@niko-uk2yi,Indonesia kebanyakan Partai politik akhirnya ae feed,0
2023-12-07T15:21:17Z,@semarmesem193,Wajar apanya... Negarawan tdk mesti koar koar gitu. Beri contoh pada masyarakat. Jgn  tunjukkan ke egoisan merasa paling. Baik.,0
2023-12-07T15:20:13Z,@imronsyaroni7963,Semakin marah semakin hancur PDI.nitizen semakin kritis sekarang..,0
2023-12-07T15:16:50Z,@semarmesem193,Pemimpin kok kya gitu... Teriak takut kalah belajar dari orang desa agar bsa santun,0
2023-12-07T15:06:34Z,@balqisfadia4478,Kok pd kebakaran jenggot.yg penting tdk korup.rakyat muak dg korupsi.pilih pres yg pro rakyat.,0
2023-12-07T15:04:04Z,@siswadi1893,Ini lah wajah demokrasi politik kita sekarang a besok b sekarang lawan besok kawan yang mementingkan golongan untuk rakyat itu omong kosong dulu dipuja di lindungin sekarang dihujat  buat rakyat yang paling penting adil makmur jujur berjuang rakyat,0
2023-12-07T15:02:14Z,@theshadow1826,"Sok saling sindir seolah2 memperlihatkan ke publik klu mreka tdk saling dukung, padahal satu komplotan bjir 🥴",0
2023-12-07T14:51:51Z,@sumadiks2418,"Mukidi yakin, Prabowo Gibran menang Pilpres 2024, suara rakyat masih bisa dibeli oleh partai partai pendukungnya melalui <br>Paket<br>Presiden, DPR RI, DPR PROVINSI, dan DPR KABUPATEN/KOTA<br>Apapun paket partainya mau dioplos DPR RI nya dari Golkar, DPR Provinsinya dari Gerindra, DPR Kab/Kota dari Demokrat atau diacak sekalipun, Presidennya tetap Prabowo Gibran,<br>Caleg DPR Kab/Kota akan mati matian berusaha agar bisa jadi anggota Dewan, hal ini secara otomatis memenangkan Prabowo Gibran<br>Waspadalah Waspadalah money politik<br>Mungkin ada yg berpendapat rakyat tidak bisa disuap, ya di kota mungkin tapi di desa  yg sebagian besar buta politik, ya nyoblos yg ngasih uang lembaran merah bahkan hanya biru<br>Wallahu alam bishawaf",0
2023-12-07T14:40:54Z,@verialseff7964,Amin ajalah diia g panik krn g trlibat apa2 dan gagasann jalan terus,0
2023-12-07T14:33:17Z,@user-qy3rb2qq6e,Horreeee,0
2023-12-07T14:30:54Z,@verialseff7964,Wajar lah klu bu Mega marah (walau sy bukan pendukung PDIP) krn dinasti politik yg mereka lakukan sdh klewatan skleg dipaksakan wali kota cawapres... Pd hal kan bnyk jasa nya ibu kpd jokowi,0
2023-12-07T14:30:02Z,@BangJhon-nz6kx,Sdh waktunya gantian partai yg berkuasa. ketum PDIP marah2 biarkan saja cape y berhenti sendiri😂😂😂,0
2023-12-07T14:27:13Z,@user-hi6kf9pd8x,Masinton kena mental,0
2023-12-07T14:26:24Z,@imamsubroto5635,L,0
2023-12-07T14:19:25Z,@user-qy3rb2qq6e,Aku teringat apa kata gusdur sprti anak TK.,0
2023-12-07T14:18:44Z,@user-yf3uu1cg8u,"Mayoritas yang pinter ngomong ini hidup di era ORDE BARU, mungkin klu gk ada ORBA dah mati semua waktu itu, janganlah terlalu benci pada ORBA. Waktu ORBA pasti ada baiknya untuk Repoblik ini.",0
2023-12-07T14:13:51Z,@christinasitisutarmi9651,"Makin rame,panas,seruu....tp jgn sampai stress ya ,RI  milik kita bersama,bkn milik partsi atau sekelompok orang tertentu...salam damai 😂😂😂❤",0
2023-12-07T14:13:19Z,@user-hi6kf9pd8x,😂😂,0
2023-12-07T14:09:09Z,@user-hi6kf9pd8x,Nenek lampir marahh,0
2023-12-07T14:04:13Z,@rubyjane4687,JUJUR JOKOWI TERLALU POPULER ANJIR.SAMPE YG CAPRES 3 AJA KALAH BERSINAR.PDHAL UDAH GA NYAPRES LAGI 😮,0
2023-12-07T14:04:02Z,@user-yf3uu1cg8u,"Yang ribut kok kubu Ganjar dan Prabowo aja, apa dua duanya ini gak beres Ya?  Mudah&quot; an AMIN ajalah yg menang biar Repoblik ini jadi tentram n sejahtera.",0
2023-12-07T13:56:14Z,@rokhimsaja3029,Pekerjaan susah jaman kontrak,0
2023-12-07T13:55:25Z,@dzikriabdilla5517,Masyarakat yg mana?  Sy aja orang desa dipasuruan jatim gak ada apa&quot; malah ngobrol tentang pilpres diwarung pinggir jalan bebas mau ngomong apa aja tentang pilpres saat ini.  Mungkin neneknya banteng moncong aja yg merasa terintimidasi karena sdh didepan mata bahwa moncongnya bantengnya akan nyungsep. Wkwkkk.,0
2023-12-07T13:51:46Z,@rokhimsaja3029,Paslon dua memang bagus paslon tiga bagus juga &#39; tapi ada yang lebih bagus paslon satu santuy,0
2023-12-07T13:49:15Z,@user-ve6yh2xj8w,Bagaimana rakyat mau seneng Ganjar wong Mega orang pengajian kok dilarang .wong edan,0
2023-12-07T13:47:21Z,@idathidayathidayat-od4gy,Biar lah yg dzolim dgn yg dzolim  bertengkar hahahha..makar ALLOH SANGAT LAH KERAS  INGAT ITU YAH MAK LAMPIR,0
2023-12-07T13:46:15Z,@berandaseba7345,"Ucapan Bu Mega menjadi blunder, bukannya rakyat semakin suka melainkan semakin muak, mendengar pidato Bu Mega,dan akhirnya dukungan kepada pak Ganjar semakin anjlok, semoga tidak nyungsep",0
2023-12-07T13:43:37Z,@rokhimsaja3029,Kasihan anak2 lulus smk pada ngangur,0
2023-12-07T13:42:55Z,@endangpujirahayu2449,"Kawatir kalah,,😂🤣",0
2023-12-07T13:39:30Z,@rokhimsaja3029,Drama b0sen,0
2023-12-07T13:38:37Z,@rokhimsaja3029,Bagus aku setuju piliih yang adem  paslon satu  anis amin,0
2023-12-07T13:38:23Z,@endangpujirahayu2449,"Gk ada benarnya di mata Banteng,,,,<br>Semua salah,,<br>Cari menangnya sendiri,,,,<br><br>Bismilah pilih pak,Prabowo",0
2023-12-07T13:36:06Z,@endangpujirahayu2449,"Aku gk pernah pilih Banteng,gk simpati sama sekali",0
