publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:38:15Z,@KhairilAnamz-px2kr,Seru juga nonton Gibran😂😂😂😂😂,0
2023-12-07T15:28:42Z,@isalutfi,"KECERDASAN &amp; KEBIJAKSANAAN Pak Anies Baswedan tidak diragukan oleh orangg yang bisa berpikir waras, TAPI saya ragu dengan SELERA sebagian masyarakat kita yg memilih CAPRES dengan standar rendah. Jangan sampai Indonesia kehilangan momentumnya memiliki presiden yang cerdas.",0
2023-12-07T15:21:07Z,@adeka793,"Selamat buat mata Nazwa.<br>Tapi ada yg kurang ,biasanya mba Nana klo nanya tajam &amp; kritis. Tapi kali ini nampaknya nanyanya ringan ringan..",0
2023-12-07T15:20:24Z,@nailavellayati2494,"Duh jomplang bgt yaa itu , yg lain 13 thn udh ngeri2 ..",0
2023-12-07T15:16:31Z,@cahayacamelia1863,anies is the best❤,1
2023-12-07T15:14:09Z,@jhonkenedi2330,"Pilihan capres dan cawapres saya cuma simpel, yaitu menjawab pertanyaan sesuai dengan apa yang ditanyakan. Tidak boleh ada ditutup-tutupi jika ingin menjadi pejabat publik. Karena aturan main rakyat akan di serahkan kepada pejabat publik.<br><br>Mata Najwa salah satu pedoman dalam mencari informasi yang terpercaya. Terima kasih kepada seluruh Tim Mata Najwa yang selalu matang dalam memberitakan berbagai isu.",0
2023-12-07T15:06:40Z,@valdoboy4303,Mantabb ini.. wajibb trending,0
2023-12-07T15:06:35Z,@ratnadewipratiwi8841,Kak rina nose best best best top,0
2023-12-07T15:06:26Z,@fatihfathurrahman8516,Hahaha gibran kek dipakasa bapaknya bener,0
2023-12-07T15:00:27Z,@DACFIL,Klo prabowo kalah dah fix danzo sih dia,0
2023-12-07T14:55:02Z,@user-pu4bz9rk9s,Gak usah vikirkan surve mas Gus,0
2023-12-07T14:35:05Z,@hendrytanzil7481,Mas Ganjar mirip Mr.Clinton.,0
2023-12-07T14:34:53Z,@marsellamarzuki7118,"Tegak lurus,inkonsistenan,asam sulfat",0
2023-12-07T14:22:44Z,@attabatulghulam4080,Putra putra terbaik bangsa Indonesia,0
2023-12-07T14:11:31Z,@itscancan7650,"mau 01, 02, 03 kita ttp cari beras sendiri<br>jadi jangan mau dipecah. inget itu<br>ada temen berbeda pilihan, jangan sampe musuhan. karena suatu saat kita butuh org tersebut. <br>jadilah pendukung yg intelek tanpa huru hara. <br>2024 akur, damai, adem, indonesia menang",0
2023-12-07T14:09:31Z,@putumodo0990,Putra mahkota 😆😆😆,0
2023-12-07T14:02:15Z,@BBgaming12345,Saya Dari Desa Konoha Mau Bertanya Buat Apa Sih DPRD Sama Partai?.... <br><br>Terima Kasih,0
2023-12-07T13:55:01Z,@kandas666___,Rakyat Indonesia suka yang lawak lawak terlihat dari suara penonton wkwk sakit sakit,0
2023-12-07T13:27:52Z,@muhammadburza1859,Ya anies pasti menang nambah yakin,0
2023-12-07T13:25:18Z,@qibfong6734,Gibran ga ada niatan pengen afk aja ya?,0
2023-12-07T13:24:26Z,@ryanmuslim2285,Maju terus pak mahfud,0
2023-12-07T13:01:40Z,@irwansyah6235,Saya gak mikir apa2....😂😂😂  Waduh mas....ini bangsa besar  banyak sejuta masalah. Sampean malah gak pernah mikir apa2,0
2023-12-07T12:29:35Z,@lenteramuslimchannel,Santai aja katanya... Duh ini orang tua yg diajak ngomong.,0
2023-12-07T11:51:24Z,@fikrisodiq6652,.lah lek ngene iki duenneng aq.,0
2023-12-07T11:00:14Z,@Mamlukhah,"Mbak najwa kayak kurang sehat ya di acara ini, suaranya kayak beda tapi tetep kerenn, semoga sehat selalu mbak najwa aminnn",0
2023-12-07T10:33:05Z,@umamkece50,Kueren banget acaranya😊,0
2023-12-07T10:27:02Z,@ririnkartika9512,Pak mahfud mmg kata2nya dalemmmmm❤,0
2023-12-07T10:05:15Z,@ibuammardanyesha763,"Kangen emil mah pencair suasana,, pantesan taunya penyiar radio jg😊",0
2023-12-07T09:08:52Z,@umamkece50,Pak mahfud sosok yg sangat berkualitas dan berjasa untuk negara.. semoga niat baik beliau dan rakyat bisa terwujud untuk menjadikan negara ini yg sejahtera.. amin,10
2023-12-07T09:00:33Z,@SamRifki,Keren mata Najwa,0
