publishedAt,authorDisplayName,textDisplay,likeCount
2023-12-07T15:30:22Z,@user-gi4vw4jg3k,Ga usah  jd cawapres  klu tdk mau debat &amp; blm teruji bos...ini antar negara bkn antar provinsi 😂,1
2023-12-07T15:28:29Z,@user-uk7ed9rp3c,Cak imin mempertunjukan kelas nya sebagai politikus👍,0
2023-12-07T15:26:49Z,@Mahfud-nj8jf,Cawapres yang katanya paling mewakili anak muda kemana katanya siap adu gagasan,0
2023-12-07T15:26:40Z,@suwarnopakguru2765,"Dua Cawapres ini sedang berdebat, sementara tadi siang Gibran mengunjungi dan bagi-bagi buku, susu, juga baju ke anak-anak sekolah dasar di Solo.",0
2023-12-07T15:26:34Z,@bajabesi,Kualitas pengajar disekolah jg perlu diperhatikan,0
2023-12-07T15:25:16Z,@KOGOYANACK052,Janji politik doang<br>Entar naik bakal lupa kok,0
2023-12-07T15:24:50Z,@alegaming3998,"Kaum muda dn yg di sebut milenial itu pada malu untuk JD petani . Padahal dengan menjadikan diri kita petani bisa membantu ekonomi Indonesia soal pangan .. kita ini udh di cekokin oleh modernisasi teknologi fashion dll.. kita harus membuat para kaum muda dn milenial harus tidak bisa malu untuk JD petani.<br>Bukan susah mencari kerja tapi hampir rata&quot; kaum muda telah membatasi pekerjaan yg menurut dia anak mud aitu ideal nya kerja di kantoran yg ber AC. JD bukan ini harus JD perhatian pemerintah juga,, bahwa semua pekerjaan bisa membantu Indonesia melangkah maju dn memperbaiki pertumbuhan ekonomi",0
2023-12-07T15:19:32Z,@iswondochannel2541,Acara bagus seperti ini .. Biar masyarakat tau mana yg punga gagasan dan yang cuma gimick,0
2023-12-07T15:19:00Z,@edoheriansyah5105,Klw ga ada pngguran soal lowongan kerja jngan ad batas umur rakyat bisa kerja dan ekonomi cukup,0
2023-12-07T15:15:57Z,@muhammadhasbiallah3018,AMIN,0
2023-12-07T15:15:45Z,@wahyueko4695,"Kok cuma 2, bukannya cawapresnya ada 3 ?",0
2023-12-07T15:14:19Z,@aaledi4543,Anak papih kemana ya? <br>Jangan jangan lg keeusak keeusuk di gorong gorong.,0
2023-12-07T15:14:05Z,@shitto9820,"Semoga diantara paslon No 1 &amp; No 3 terpilih menjadi presiden &amp; wapres, karena ini lah yg dibutuhkan anak muda, diskusi yg berbobot 👍🏾",0
