publishedAt,authorDisplayName,textDisplay,likeCount
2023-11-04T04:10:31Z,Yuli anto,"Kalau bantengnya brutal, tinggal di sembelih saja buat di jadikan sate",0
2023-11-04T01:17:16Z,Paijo Painem,Rakyat sekarang itu pilih calonnya bukan partainya.,0
2023-11-03T21:43:39Z,Antonie Santana,Tes ombak…Rakyat diam…ada yg salah dgn pemimpin. Raih Kekuasaan dgn cara berbudi pekerti.,0
2023-11-03T16:44:32Z,sholehuddin binmahfudz,Dasar sinting berat !!,0
2023-11-03T11:41:00Z,Lil Irfan,Ketua petugas partai vs petugas partai,0
2023-11-03T01:55:49Z,Zakaria Zein,TERNYATA PEDEIPEH BUKAN HANYA &quot;MAIN DUA KAKI&quot; TAPI 7-8 KAKI. RELA MENJILAT &quot;LUDAH SENDIRI&quot;,0
2023-11-03T01:42:36Z,stewart chiko,Yg dukung banteng ga ad kapok² ny udh di kibulin begitu lama,0
2023-11-02T20:16:31Z,Bonaventura Enrico,"Yg digembor2kan katanya hebat, bijak, peduli, itu hanya sementara. Pada akhirnya? Maka jadilah kita orang2 memilih suara dari hati , bukan dr telinga..",0
2023-11-02T19:51:12Z,Indah Official,Populasi banteng terancam punah... Hewan yang satu ini di lindungi di singgasana negara..,0
2023-11-02T16:24:19Z,Aseng Marpaung,Pada saatnya nanti semua akan terungkap,0
2023-11-02T16:04:49Z,Epi Supriadi,Masa pakk,0
2023-11-02T15:26:37Z,Nenekkreatif Anis,Sudahlah...pastilah pj gubernur diperintah olh atasan.lihat aja tuh wkt beri penjelasan wajahnya penuh dilema.makanya lain kali jgn gila jabatan sp nurut aja disuruh langgar.ht2 lho kl ketauan ikut curang di pilpres nanti tanggung  sendiri akibatnya,0
2023-11-02T13:33:53Z,sumantri jek,Teruskan Adu bantengnya,0
2023-11-02T13:13:41Z,dafud!bum,Kalau takut konpetisi  jangan mengada ada,0
2023-11-02T08:41:34Z,Wonov,Si Banteng sedang mencoba berusaha  membunuh karakter pribadi  seseorang 😅😅😅😅😅😂,0
2023-11-01T20:45:34Z,Ahmad Haidar,"Banteng itu hewan yang matanya rabun pak, <br><br>Makanya banteng tidak tau siapa yang perduli sama dia, dan siapa yang tidak perduli padanya, <br><br><br>Dan hewan banteng, satu hewan yang tidak bisa melihat kebawah, <br><br>Saya bicara banteng, bukan bicara partai,.. <br><br>Tolong di fahami, jangan di salah arti...",0
2023-11-01T19:17:08Z,Dekik Dede akik,"Lah gua malah pernah lagi naik motor kepala kena palang kayu baliho yg nongol ke jalan , gua langsung cabut sobek2 balihonya, meskipun gambar balihonya sapi",0
2023-11-01T19:15:38Z,Dekik Dede akik,"😂 lu pada jadi sapi kok bangga, kalau gua malu",0
2023-11-01T16:04:26Z,jolma kumoring,Semua orang kalo diganggu pasti brutal...,0
2023-11-01T16:00:13Z,bil Kit,Rame rame Rakyat Indonesia siap tenggelamkan banteng kalau ada banteng ngamuk. Wkkw,0
2023-11-01T15:57:13Z,bil Kit,Kalau Banteng Brutal ya tenggelam lah oleh rakyat Indonesia. Wkwk,0
2023-11-01T15:27:35Z,Sand Banana,So,0
2023-11-01T15:15:53Z,Iyan Ajah,Tidak chengen tapi nangngis gerung gerung.kaya anak kecil.,0
2023-11-01T15:15:19Z,Victor Budiman,"Kn yg dicopot baliho smua calon dari partai knr hari tenang coy,wartawan ini yg provokasi kt Y partai senior tp gtau aturan😅🤣🤟",0
2023-11-01T15:12:40Z,Victor Budiman,"Emg yakin ente bali 100 PDIP,itu dulu coy skrg masyarakat cerdas bkn mmilih partai tp tokoh yg bnr mau bekerja u/rakyat bkn u/partai😅🤣🤟",0
2023-11-01T14:48:23Z,mandala cigoong,Tenggelamkan s banteng yg sudah menghina tukang bakso,0
2023-11-01T14:42:08Z,Hanya Sebuah Channel,Sekarang dia bukan petugas partai mu lagi ..😁,0
2023-11-01T14:10:22Z,Budi yanto,Wih galaknya....😂,0
2023-11-01T14:09:07Z,pecinta budaya,Kau kira negara ini punya banteng😂,0
2023-11-01T14:08:27Z,Sularto Sular,Ini kah petinggi partai ngomongnya sangat menakutkan GI mana rakyat mau simpati,0
2023-11-01T14:06:18Z,antonbudiarto7,Biasa saja gak usah baper...lagiyan kan bukan gambar 1 partai saja...<br>❤😂😂,0
2023-11-01T14:05:54Z,Frederick,brutal apa ya banteng waktu ya kalah dari pada jadi boneka nenek nenek lampir,0
2023-11-01T14:03:04Z,Joni Papa,Sok2an.. prett,0
2023-11-01T13:56:34Z,sharelock,Sdh dibentuk pak lembaga khusus nurun kn baliho..BABU LO..Badan Bekerja klKhusus Penurunan Baliho..ketua&#39;y si dudung,0
2023-11-01T13:56:24Z,Elfi Sandra Suharto,Tempo hari pak Anis posternya juga di copot biasa saja..banteng kalau ngamuk di buat rendang 😂😂😅,0
2023-11-01T13:56:23Z,Komar udin,Ada apa ini semuah,0
2023-11-01T13:55:50Z,Prayogo Ageng,Itu playing viktim sandiwara banteng emang jago.tetap perubahan anis amin solusi terbaik buat semerawutnya bangsa,0
2023-11-01T13:50:05Z,Achmadjayadi,Tenggelam pdi,0
2023-11-01T13:48:00Z,Alvi elsa damayanti,Ehem ehem,0
2023-11-01T13:45:00Z,Andi Andi,Macam banteng aja yg paling hebat. Pak pDIP. Bukan partai ada saja yg bs brutal . Ajarkan yg santun psk pdip,0
2023-11-01T13:37:08Z,Kusnan Jambi,Saya malas komen bos ktnya untuk rakyat ternyata rakyatnya sendiri bkn untuk rakyat indonesia.,0
2023-11-01T13:33:28Z,bang ahmad,"Paling juga temannya sendiri,,terus pura² jadi korban😂",0
2023-11-01T13:23:31Z,Mohamad Rusli,Si merah ini lagi  marah marah terus sebaiknya ga usah milih banteng merah lagi deh nnti kena marah klo pindah ke partai lain😃😃😃,0
2023-11-01T13:15:14Z,EPPO,"Yg di copot bkn cuma baliho nya ganjar n bendera pdip...bendera psi n bbrp partai juga di copot..baliho kaesang,baliho prabowo n baliho bbrp caleg juga di copot kok",0
2023-11-01T13:14:11Z,erlinsusilowati md,Kandang banteng atau kandang kambing.peraturan harus dijalankan,1
2023-11-01T13:14:07Z,Rusdy vonny,"coba mau lihat banteng bangun dan marah,,, mau ngamuk kayak apa sih,,, wong tanduknya sdah patah 1 mana berani,,,😂😂😂😂",0
2023-11-01T13:13:09Z,erlinsusilowati md,Banteng ketaton............,0
2023-11-01T13:06:25Z,Jf Abadian,PENDUKUNG ANIS NONTON AJA,0
2023-11-01T12:54:06Z,Abdullah Fuad,Petugas pasang...gk  tahu x ya??? Kok sampai do copot🤣🤣🤣,0
2023-11-01T12:52:57Z,Johani Johani,JUTRU RAKYAT OGAH PILIH PARTAI PDIP YG SUKA BRUTAL..PANTESNYA DITENGGELAMKAN SJ..,0
2023-11-01T12:52:24Z,Melly Ana,oh   gitu  ya pakkk  mau lihat banteng gamukkkk😂😂😂,0
2023-11-01T12:51:21Z,Johani Johani,SIAP RAME2 TENGGELAMKAN PDIP,0
2023-11-01T12:49:23Z,Komang Suardika,Pas pak,0
2023-11-01T12:48:30Z,nisa resal,"JANGAN MACAM 2 SM BANTENG MONCONG PUTEH KALAO LO NGGAH MENSAL SY UDA MENGIGATKAN JANGAN MACAM 2 SM BANTENG MONCONG PUTEH KALAO LO NGGAH MENESAL LO,MAU CIBA  TANDOKNYA BANTENG MONCONG",0
2023-11-01T12:48:10Z,Abubakar Supriyono,"kalo tdk mau d sebut cengeng ,ya gk usah d anggap tindakan penurunsn baliho😂😂",0
2023-11-01T12:46:43Z,Dino Badrun,brutal y disikat sama aparat.,0
2023-11-01T12:45:31Z,Akhmad Kusaeri,Nama partai kok disamakan perilaku hewan banteng. Piye too kii,0
2023-11-01T12:43:47Z,seputar priangan,Yang lain perang ekonomi ini sibuk urusan sampah visual,0
2023-11-01T12:41:11Z,Ayi Nuryati,Ada hiburan .😃 aya ssling cakar .rakyat senang,0
2023-11-01T12:36:17Z,H ZAENAL ABIDIN ARIF,Segera bangunlah. Kita rindu kamu bangun. Dan ngolok presiddn SBY kayak Sapi. Inget kan kamu,0
2023-11-01T12:34:44Z,Tobias Tobias,Tidak etis kejahatan  serahkan <br>seorang gubernu pengabdi negara tapi tingkah lakunya brutal brutal brutal..,0
