publishedAt,authorDisplayName,textDisplay,likeCount
2023-11-04T02:02:00Z,umi kaimana,Mas Gibran pria mudah <br>Adalah generasi penerus<br>Yg mementingkan kepetingan<br>Golongan dripd kepentingan pribadi...mas Gibran maju terus...,0
2023-11-03T23:17:05Z,Laode Handi,"Prediksi saya Prabowo Gibran menang diatas 50 persen dgn alasan, pemilih   Prabowo,pemilih SBY, relawan Gibran, mesin koalsi indo majukeluarga Soeharto,Kel purnawirawan,Kel yg diberi bea siswa dll",0
2023-11-03T22:39:48Z,Aris Santoso,Gibran kucluk gayane koyo baim wong......,0
2023-11-03T15:35:49Z,AWU,Semenjak kalah terus jadi menhan jadi kaga resep udah <br>Mending anies lah,0
2023-11-03T14:33:52Z,Gogolali Kroto,Mantap kali...  Pak Prabowo dan Mas Gibran 🎉❤🇮🇩,0
2023-11-03T14:16:19Z,G Hasibuan,Kenapa pada protes ya.....bila perlu syaratnya usia 20 tahun...........kalaupun dia tidak kompeten ada rakyat bakal milih......kenapa pengen menang wo...,0
2023-11-03T14:13:30Z,G Hasibuan,Katanya negara demokrasi.....siapa aja yg masuk jadi pencalonan....ya kenapa di permasalahkan.....toh juga rakyat yg milih.......,0
2023-11-03T09:53:26Z,Sahmal Bebie,Demokrasi Indonesia mati,0
2023-11-03T07:41:13Z,Mian Siahaan,Ganjar aja deh,0
2023-11-03T07:39:50Z,Mian Siahaan,Katanya ngk bisa. Batas usia. Mana yg benar ia ??,1
2023-11-03T07:39:13Z,Mian Siahaan,Emng jd ???,0
2023-11-03T03:07:36Z,Designbyardans,tetep yakin Prabowo Gibran menang di putaran kedua,2
2023-11-03T00:51:29Z,Lissa Hantono,2024 untuk prabowo gibran,2
2023-11-03T00:15:53Z,Yudhis Tira,Usianya paling sepuh adalah pilihan saya,0
2023-11-02T23:27:36Z,Robi Godean,"Ganjar,mahfud bos,  ora sudi pilih gibran",1
2023-11-02T22:50:02Z,Rusdi Faisal,Rakyat bener&quot; jijik dg caranya jadi cawapres,2
2023-11-03T14:13:44Z,pencari ketenangan,Makanya mending coblos Prabowo aja,0
2023-11-02T19:38:32Z,Purwadi,Prabowo gibran akan gugur ini udah ingkar janji,0
2023-11-02T19:37:29Z,Purwadi,Gk akan jadi untuk slamanya,0
2023-11-02T18:19:33Z,Avanza Jual beli,"Prabowo-Gibran tetap jadi R1, 🎉🎉🎉🎉",4
2023-11-02T18:00:43Z,azid jajili,"Harusnya prabowo anies,tapi kalau begini mending anies cak imin",1
2023-11-02T16:25:00Z,Nurdiah Kristi,Gak ngurus,0
2023-11-02T14:56:41Z,Niko Danu,Lihat mukanya aja dah muak,0
2023-11-02T14:28:12Z,@ANDRE MANIA,"SEMOGA GAGAL, SAYA SELALU MENDUKUNG PAK PRABOWO TAPI SETELAH TAU ADA GIBRAN NYA HUH OGAH, PAK PAK HARUS NYA JANGAN GIBRAN LAH WAKILNYA",3
2023-11-03T08:41:05Z,Kewaige kyliee,iya bener,0
