created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:59:26 +0000 2023;1,71878E+18;@Melihat_Indo @ganjarpranowo @mohmahfudmd GanjarMahfud mencalonkan diri dg cara yg baik , bukan dengan membuang etika politik #GanjarMahfudTaatKonstitusi https://t.co/A9XtTJHugP;0;0;0;1;in;1,70969E+18;1,71854E+18;keyatamboy;https://twitter.com/keyatamboy/status/1718779607678353509
Sun Oct 29 23:54:35 +0000 2023;1,71878E+18;@andre_rosiade @gibran_tweet Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;1;in;8,89377E+17;1,71846E+18;marsusuka;https://twitter.com/marsusuka/status/1718778385885986954
Sun Oct 29 23:54:18 +0000 2023;1,71878E+18;Silaturrahim Ke Pesantren Inabah 1, Kabupaten Ciamis (29/10/2023) #ganjarmahfud #Ganjar #Ganjarpranowo #ganjar2024 #ganjaruntuksemua #kamiganjar #tetapganjar #ganjarrebound #jatenghappyending #tetappilihganjar #harisantrinasional https://t.co/ddfpZe7nmB;0;0;0;0;in;1,51471E+18;1,71878E+18;dukung_ganjar;https://twitter.com/dukung_ganjar/status/1718778315086184842
Sun Oct 29 23:54:05 +0000 2023;1,71878E+18;Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71878E+18;marsusuka;https://twitter.com/marsusuka/status/1718778261097062694
Sun Oct 29 23:48:48 +0000 2023;1,71878E+18;@__AnakKolong Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71859E+18;marsusuka;https://twitter.com/marsusuka/status/1718776932966486112
Sun Oct 29 23:46:34 +0000 2023;1,71878E+18;@andre_rosiade Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71842E+18;marsusuka;https://twitter.com/marsusuka/status/1718776369365279016
Sun Oct 29 23:46:05 +0000 2023;1,71878E+18;@UmarSyadatHsb__ Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71843E+18;marsusuka;https://twitter.com/marsusuka/status/1718776250037366810
Sun Oct 29 23:44:11 +0000 2023;1,71878E+18;@Chynthia_K Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71815E+18;marsusuka;https://twitter.com/marsusuka/status/1718775771521806454
Sun Oct 29 23:43:34 +0000 2023;1,71878E+18;@KarelA74431621 @lahedom99 @Chynthia_K Saya dulu mengidolakan @Jokowi dan saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor subur;0;0;0;0;in;8,89377E+17;1,71815E+18;marsusuka;https://twitter.com/marsusuka/status/1718775615212724356
Sun Oct 29 23:37:47 +0000 2023;1,71877E+18;@blantik_pedhet1 @jokowi Saya dulu mengidolakan @Jokowi sampai2 saya mengajak basis sy memenangkan @Jokowi sampai 2 periode, berjibaku saat melawan @prabowo tp selalu mengkritisi kebijakannya, skrg sy liat @GanjarMahfud lebih baik dari @Jokowi, kenapa?  UU Perampasan Aset Koruptor, sy tdk rela Koruptor..;0;0;0;0;in;8,89377E+17;1,71859E+18;marsusuka;https://twitter.com/marsusuka/status/1718774158207979625
Sun Oct 29 23:35:09 +0000 2023;1,71877E+18;Kekuatan kami bkn sumber dana yg melimpah ruah  Kekuatan kami bkn instrumen &amp  perangkat negara  Kekuatan kami adalah semangat militansi &amp  jiwa spartan yg menolak tunduk kpd kepentingan segelintir orang yg ingin terus berkuasa dengan menghalalkan segala cara 🔥 #GanjarMahfud https://t.co/GUSSpBrYkp;0;2;5;16;in;1,15772E+18;1,71877E+18;Twillight_Loid;https://twitter.com/Twillight_Loid/status/1718773496388706672
Sun Oct 29 23:17:41 +0000 2023;1,71877E+18;@Uki23 GanjarMahfud suaramu bertambah total jafi 223 orang, prabowo gibran suaramu berkurang 223 orang di ciledug...ah gak efek juga kali masih kecilllll;0;0;0;0;in;8,86484E+17;1,71846E+18;Tri32242517;https://twitter.com/Tri32242517/status/1718769102817481105
Sun Oct 29 22:39:43 +0000 2023;1,71876E+18;#106HariMenujuPemilu : https://t.co/mDSh6KQnts  #LanjutGan #GanjarPresiden #GanjaristOptimis #GanjarMahfud #GerakCepatGanjarMahfud #MenujuIndonesiaUnggul @ganjarpranowo @mohmahfudmd @TPNGanjarMahfud  @Ganjaran_app @PDI_Perjuangan @DPP_PPP @PartaiPerindo @hanura_official https://t.co/e8U9ZoxFEn;0;0;0;0;und;1,47903E+18;1,71876E+18;Ganjarist_Ind;https://twitter.com/Ganjarist_Ind/status/1718759548125921715
Sun Oct 29 22:35:53 +0000 2023;1,71876E+18;Keunggulan Ganjar Mahfud punya rekam jejak mendukung pemberantasan korupsi  #GanjarMahfud2024 #GanjarMahfud #GanjarPranowo   Mega Jokowi Zendaya Red Sparks Inkigayo Yahudi Fuji SEUNGCHEOL KEREN BANGET Pak Bas Samsung Kiky eric nam Yahudi Minggu Zionis #DAY6 Manchester City https://t.co/gGb8uAg0gU;0;0;0;0;in;4862415833;1,71876E+18;welcomeee9;https://twitter.com/welcomeee9/status/1718758581133250648
Sun Oct 29 22:35:49 +0000 2023;1,71876E+18;Jangan Gentar &amp  Takut .. @ganjarpranowo &amp  @mohmahfudmd   #GanjarMahfud  #RelawanMMD #Jokowi https://t.co/NvtzGWGMWu;0;0;1;3;in;1,30697E+18;1,71876E+18;JelitaLombok;https://twitter.com/JelitaLombok/status/1718758565727645854
Sun Oct 29 22:35:37 +0000 2023;1,71876E+18;Ganjar Mahfud tak gentar membasmi korupsi di Indonesia  #GanjarMahfud2024 #GanjarMahfud #GanjarPranowo   Mega Jokowi Zendaya Red Sparks Inkigayo Yahudi Fuji SEUNGCHEOL KEREN BANGET Pak Bas Samsung Kiky eric nam Yahudi Minggu Zionis #DAY6 Manchester City Bahlil Jatinangor https://t.co/2O6UhLBXEY;0;0;0;0;in;4862415833;1,71876E+18;welcomeee9;https://twitter.com/welcomeee9/status/1718758514246783159
