publishedAt,authorDisplayName,textDisplay,likeCount
2023-11-03T10:53:45Z,suprianus Lewo,Asli inonesia kah?,0
2023-11-03T04:06:01Z,Muhammad Ismat,Tetap AMIN,0
2023-11-01T06:41:22Z,Adsyah Herisda,Mantap pasangan AMIN,1
2023-10-31T23:10:35Z,Budi Yanto,Semangat bapak anis lanjutkan program peresapan banjir  kalau gak meresap di buat kolam renang aja 😅😅😅,0
2023-10-31T23:08:35Z,Budi Yanto,Sukses proyek bambu yang sekarang  sampek di robohkan,0
2023-10-30T19:51:28Z,Bm Bimbim wong serang,jembut....?,0
2023-10-30T19:49:12Z,Bm Bimbim wong serang,dua sejoli yg cerdas tapi dlm perkibulan,0
2023-10-30T05:55:44Z,Limonite Cantik,Ga tau ya kurang srek sama cak imin padahal anis udah lumayan bagus aslinya 😢,0
2023-10-30T05:38:06Z,ita,"Lucu kalo liat ini, kok malah anies yg ngikutin kelakuan cak imin😅😅😅. Presidene sopo iki??....",0
2023-10-30T05:00:56Z,Jojok 2004,Inshaa Alloh KAESANG DILANTIK UTK MENJABAT WALIKOTA DEPOK PERIODE 2024 dst. Aamiin YRA.,0
2023-10-29T11:57:52Z,Deni Sanjaya,Apanya yg robah bukan jadi rusak seperti jkt buang² uang dasar gubernur ga becus,0
2023-10-29T07:20:10Z,Ngasgunting channel,Kalo capres lain.....berapa uang yg harus dikeluarkan untuk mendatangkan orang sebanyak itu.....,0
2023-10-29T04:09:48Z,kabol dana,Gak bahaya ta,0
2023-10-28T14:44:14Z,Dyan To,Janjinya mau mengurangi kemacetan...eee malah membuat kemacetan wkwkwk😂😂😂,1
2023-10-28T14:41:21Z,Andrie Boy,Depok mantap. Amin aja dulu yg lain ntar aja dulu,0
2023-10-28T14:08:45Z,priyok rafiq,"Semoga si jago bersilat lidah, merangkai kata yg manis tanpa gerakan bisa jadi R1",0
2023-10-28T13:41:22Z,ahmad marzuki,Kang surepay bingung. Kok jadi anomali gini.,0
2023-10-28T12:23:29Z,Aida Rahmawati,AMIN mantap 👍,0
2023-10-28T12:01:03Z,Hamdan Al-gautama,Di tunggu di Bekasi pak Anies,0
2023-10-28T11:13:58Z,zainal arifin,Buzzer cokro tv nyimak😀😀😀,0
2023-10-28T11:12:01Z,headshave indonesia,Tukang mbaaacottt aja pinter nya.. bisa free kan BBM.. 😂😂😅😅..  parahhh.. mbacott aja pinter nya.. ampun aja klo masih ada yg percaya dan milih... 😅😅😅😅,0
2023-10-28T10:47:35Z,Valensi Vcc,Amin mantap 👍👍👍👍,0
2023-10-28T10:24:05Z,putra Aceh Mania,Jangan ragu pilih amin,0
2023-10-28T10:23:19Z,Arif Abdjul,Lo lo ga bahaya ta?<br>Saya dan keluarga dari Lamongan jatim akan pilih AMIN karena cerdas punya gagasan,0
2023-10-28T09:34:58Z,Luhur Aku,Miris kalau kalah sama anak kemaren sore    jangan ngomong perubahan  menangkan dulu,0
2023-10-28T09:08:36Z,N Meci,Pasangan AMIN. Pasangan Setara Dwitunggal mirip Soekarno dan Hatta. Tidak terlalu tua juga tidak terlalu muda.,1
2023-10-28T09:02:56Z,Mas Khotim,Depok harus dirubah 20 th pemimpin yg sama partai jadi nggak ada kemajuan,0
2023-10-28T08:53:10Z,Dafa Aja,Pintar omng doang nte ...ana ttp Prabowo gibran,0
2023-10-28T08:29:27Z,Jai Nuddin,"Kalau belom dapat ya pasti janjinya muluk-muluk,preeet.",0
2023-10-28T08:05:55Z,Mecca Oke,"Semoga koalisi perubahan menang.. karena visi misi koalisi perubahan akan tercapai klo menang di pemilu.  Ayo trus viralkan segala kegiatan AMIN Anies Muhaimin.. PKS,  PKB,  Nasdem,  Umat ke seluruh peloksok negeri. Semoga Allah memberkahi",0
2023-10-28T08:04:54Z,Bapak Bapak,Kami WNI di Moskow siap dukung Amin,0
2023-10-28T07:46:01Z,Alung 123,Amin ❤❤❤,0
2023-10-28T07:44:45Z,Nurmiana Sari,"Semoga Allah SWT meridhoi pasangan AMIN Anies-Muhaimin menjadi pemimpin RI yg baru di 2024 nanti,<br>Amin YRA 🤲",0
2023-10-28T07:41:11Z,Abu Husein,Di Wonosobo nganis bgt  ..wong cerdas  pilih yag jelas. Turunnya....,0
2023-10-28T07:39:17Z,ahmad faruq,"waktunya perubahan sudah dekat....<br>Top untuk Pak AMIN,,,,❤❤❤",0
2023-10-31T03:47:05Z,Yevgeny Adityaro,😂😂😂😂😂,0
2023-10-31T13:08:46Z,ahmad faruq,@Yevgeny Adityaro🤣🤣,0
2023-10-28T07:38:40Z,Abu Husein,Pak Anis paling pinterdan beber dan soleh,0
2023-10-28T07:21:01Z,Sezuka Wa,"ngeri ! ... semua media , semua lembaga ,  dikerahkan sang dalang untuk kemenangan dinastinya . 😵‍💫",0
2023-10-28T07:09:09Z,Faris Baihaki,Kalau ngomong pinter banget anis... Tapi gak ada buktinya sama sekali🤣🤣🤣🤣,0
2023-10-28T07:04:24Z,: Diirt,lumayan sih buat hiburan😅,1
2023-10-28T07:04:07Z,Andrianss chanel,AMIN❤,1
2023-10-28T06:58:53Z,Sukron Kasiro,semoga dimudahkan pak anis dari salah satu warga depok jabar..,1
2023-10-28T06:57:15Z,Abdullah Dullay,2024 Rakyat bersama AMIN,1
2023-10-28T06:48:18Z,Mas Anas,Luar biasa,1
2023-10-28T06:46:20Z,Yunan Helmi,"Wooww...Depok Petjah,KOMPAS luar biasa",0
2023-10-28T06:45:21Z,Umay&aqila,Like,1
2023-10-28T06:44:22Z,WONG URIP,Mbuh lah,0
2023-10-28T06:44:15Z,Wawan Hermawan,Kalu hasil surpay pak anis paling buncit ber arti itu hoax,1
2023-10-28T06:38:05Z,Buser Daniel,Omdo,2
2023-10-28T06:37:44Z,Syifa Fahira Azzahir,"Masyaa Alloh Tabarakallah, Mantab p asangan AMIN.Insyaa Alloh menang.Aamiin",1
2023-10-28T06:35:20Z,Nasikin Banyumas,Kesetaraan dan perubahan hanyalah teori Anis yg kalo ngomong muter2 gak jelas rakyat udah cerdas bro omongan seperti itu udah dari jaman dulu udah dengar .ap rakyat mau percaya dengan omongan yg Anis amin yg berapi .aku yakin gak percaya  bohong gede gedebus,0
2023-10-28T06:34:21Z,zero gaming,ikut ramaekan aja bos coblos itu rahasia pribadi,1
2023-10-28T07:30:43Z,Krjusuf 87,Bkan gt bos... cara mainnya tu klo ada pembagian amplop dari banteng n anak pak.lurah ambil uangnya.. coblosnya AMIN...,0
2023-10-29T03:20:09Z,raoRRe,"Betul bngt, hanya mengikuti,bukan memilih, .20 ribu per orang waktu itu ,ngakak bangt",0
2023-10-28T06:33:25Z,Wiyatno Nano,"jalanan umum di sulap jadi pangunggnya anis dan cak imin demi kempanye,GDC depok macet total jalan di tutup nga bisa jalan,orng yg mau berangkat kerja jdi kesuliatan untuk lewat nga punya buget apa pake jalanan umum..😂😂😂😂",1
2023-10-28T06:33:08Z,Syarif Taidi,Kereeennnnn mantabbbbb pak Anis,1
2023-10-28T06:30:45Z,highlights sports,"Perubahan untuk hukum yg adil, pendidikan yg adil. Keadilan bagi seluruh rakyat Indonesia. Bukan keadilan hanya untuk satu kelompok dan keluarga saja.....",1
2023-10-28T06:29:47Z,Dodik S,Ayo,0
2023-10-28T06:29:47Z,KETOPRAK POLITIK,TIDAK MUNGKIN DAPAT HADIAH TU YG IKUT AKAL2AN PANITIA KACIANNNN,0
2023-10-28T06:28:41Z,P R A B U //,Pret apa yg mau kau roba drun 😂😂,1
2023-10-28T06:28:24Z,Jaka Lola,Kami sekeluarga dan sekampung dr Jawa tengah anti politik dinasti siap mendukung pasangan AMIN 👍👍👍,13
2023-10-31T12:19:41Z,Covid 19,"Monggo anda buka dulu link tersebut yg saya kirim, dan saya salin dari salah satu medsos. Semoga bermanfaat",0
2023-10-28T06:27:28Z,Gepeng Bebek,Wkwkwkw  ngakak . Pasangan yang membagongkan 😂,0
2023-10-28T06:24:29Z,Muhammad Hzani,Kami warga NTB siap dukung Anis cak Imin🎉,2
2023-10-28T06:22:39Z,Luhung Wiyadi,Tetap dukung Ganjar asli Indonesia asli Nusantara,2
2023-10-28T06:22:38Z,Deki Dewanto,Anis kebanyakan omong,0
2023-10-28T06:19:11Z,Dikdik Saeful,Merinding liat nya jutan manusia yg ada di kota Depok semanget terus sodarah ku untuk mendukung persiden petugas rakyat dan perunahan di Indonesia,5
2023-10-28T06:36:58Z,Nasikin Banyumas,Peret,0
2023-10-28T07:37:38Z,KAMU PASTI BISA,Apa yg mau di berubah sama Anis lihat jakarta saja. Indonesia di pimpin oleh gerombolan Yohanes PST hancur lebur,0
2023-10-28T07:55:19Z,Syaripudin Arip,"Masya allah 50 miliyar umat hadir untuk jalan sehat karena doorprise nya motor plus umroh gratis,eh maksud nya 50 miliyar utang 😅😅😅",0
2023-10-28T08:17:48Z,PRIA HINA,Itu aja kader2ny😂,0
2023-10-28T09:58:06Z,Nr,​@Nasikin Banyumas<br><br>Silahkan mau kejang2 sendiri wkwkwk,0
2023-10-28T06:19:01Z,Yayan hadiana,"Menurut aku gak bakal terwuju kesetaraan...? Karena anis tinggi badannya 172 Cm , Prabowo 165 Cm Ganjar Pranowo 182 cm Insyaallah Pilpres 2024 yang tertinggi pk Ganjar Pranowo👌🇮🇩",0
2023-10-28T06:17:49Z,SRIWIJAYA BIRD,capek ae,1
2023-10-28T06:17:36Z,Anton Marbagyo,Padahal yg hadir di acr itu adalah peserta bkn pendukung..😂,1
2023-10-28T06:58:12Z,Irsan math,"Permohonan maaf kepada yg tdk suka Anies, Anies telah mengecewakan kalian, karena Anies tdk bisa nahan lautan rakyat dimana-mana sambut perubahan. Mhon maaf yah.",0
2023-10-28T07:33:41Z,Krjusuf 87,Sotoy lu...,0
2023-10-29T03:23:35Z,raoRRe,"​@Irsan mathdapat uang 20 ribu per orang, hanya mengikuti, bukan untuk memilih,, mohon maaf ya,. Wkwkwk",0
2023-10-28T06:17:14Z,DINI,MD,0
2023-10-28T06:16:06Z,raeysmoxzbastrak,Kalau ngomong panjang panjang tuh jadi bodoh saya😂😂😂😂😂😂😂😂😂,1
2023-10-28T06:16:02Z,Ikha Cardika,IKN dirobah,0
2023-10-28T06:15:14Z,Ikha Cardika,Emang harus setara.  Gaji kuli sama DPR,0
2023-10-28T06:13:12Z,Recruitment Manpower,"Dia bikang ingjnkan kesetaraan,Hmmm cita2 kom....  😂😂😂😂",0
2023-10-28T06:12:16Z,Eri Samsu,terima kasih buat pendukung anis tetap santun.  :yougotthis: mari berkontestasi dengan riang dan gembira. politik yg asik dan menyejukan. salam santun ANIS MUHAEMIN,1
2023-10-28T06:09:40Z,Xenia Mobil,Bentuk manusia macam ini kok dicoyo rek rek🥱🥱🥱🥱,3
2023-10-28T06:09:34Z,Iswi Rahma,Bismillahirrahmanirrahim...<br>AMIN MENAAAAAAAAAANG,2
2023-10-28T06:08:47Z,Adella Jeanita,Bismilah pa Anies dan pa Muhaimin,5
2023-10-28T06:08:35Z,Dance Fingers,Depok semoga berkah .. aamiin,5
2023-10-28T06:07:57Z,anDri,"5 taon mimpin Jkt, Gak ada Gebrakan, Gak ada kemajuan...Cuman Lapangan bola doang !!!",1
2023-10-28T06:07:32Z,Aris Gunadi,Loh servei paling buncit..tapi tiap ada acara kok banyak amat yang mengikuti..,0
2023-10-29T03:14:59Z,raoRRe,"Hanya mengikuti, bukan untuk memilih, uang sakunya 20 ribu per orang. Wkwkwk",0
2023-10-29T03:24:56Z,Aris Gunadi,@raoRRe hidup buzzer koplak,0
2023-10-29T03:35:44Z,raoRRe,@Aris Gunadi buzer dungu,0
2023-10-28T06:07:16Z,Masri Sri,Indonesia bersatu Amin Rakyat tdk bisa dibeli &amp; di iming2i hadiah apapun. rakyat ingin ada perubahan ke arah yg lebih baik lagi.Amin untuk indonesia,5
2023-10-28T06:06:53Z,Tristan Agustinus,"Gw yakin si di depok menang anis,,,,tapi di jateng sama jatim pasti gak mungkin😁😁😁😁",3
