created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:59:00 +0000 2023;1718779497242304914;"Tanggapi Adian Napitupulu, Dave Laksono: Jokowi Setia Pada Rakyat #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/v8AkApi6YZ";0;0;0;0;in;721898354502930433;1718779497242304914;golkarpedia;https://twitter.com/golkarpedia/status/1718779497242304914
Sun Oct 29 23:30:53 +0000 2023;1718772421711523858;"@BANGSAygSUJUD @99propaganda @alextham878 @Alie_Fahnoor @are_inismyname @Bank_Joee_ @Chaves1305 @genx36545403 @KhoirilAnwar_ @Kimberley_2024 @Lembayung071 Kalian yang bertanya² bagaimana sikap @prabowo terhadap Palestina dan OPM , kalian akan memahami dan mengetahui sikap beliau nanti 2024 #PrabowoGibran Presiden dan Wakil presiden Indonesia ke 08. Aamiin 🤲";0;3;2;7;in;1444206305057538052;1718747122353508442;AuntyNovi1978;https://twitter.com/AuntyNovi1978/status/1718772421711523858
Sun Oct 29 23:30:00 +0000 2023;1718772199128203613;"Terdampak Pelemahan Rupiah, Menperin Agus Gumiwang Sebut Industri Manufaktur Tetap Tumbuh #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/WFLutCP4tR";0;0;0;0;in;721898354502930433;1718772199128203613;golkarpedia;https://twitter.com/golkarpedia/status/1718772199128203613
Sun Oct 29 23:27:57 +0000 2023;1718771684092830028;"@Papa_Brewook Tahun ini harus ikut ke TPS ya mas kuh @Papa_Brewook dan coblos #PrabowoGibran ..oke";0;1;0;1;in;1444206305057538052;1718769726653100368;AuntyNovi1978;https://twitter.com/AuntyNovi1978/status/1718771684092830028
Sun Oct 29 23:20:10 +0000 2023;1718769726653100368;"Sama kita...aku juga nggak pernah ikut barisan relawan manapun tapi aku sudah mendukung bapak #Prabowo dari tahun 2014 beliau berpasangan dgn bpk Hatta Rajasa Aku pendukung independen, pendukung mandiri , sekarang aku mendukung #PrabowoGibran";0;4;3;8;in;1444206305057538052;1718769726653100368;AuntyNovi1978;https://twitter.com/AuntyNovi1978/status/1718769726653100368
Sun Oct 29 22:13:43 +0000 2023;1718753001895268380;"@adearmando61 All-in Prabowo-Gibran, yakin dan pasti Pemilu 2024 dimenangkan 🔥🔥🔥  #PrabowoGibran #PrabowoGibran2024 #PrabowoForRI2024";0;0;0;0;in;1096392611827306496;1718520504716554686;KedanPrabowo;https://twitter.com/KedanPrabowo/status/1718753001895268380
Sun Oct 29 21:44:16 +0000 2023;1718745589897163136;"Alhamdulillah #PrabowoGibran  unggul";0;1;2;3;in;1695192728173187072;1718745589897163136;drReUtari08;https://twitter.com/drReUtari08/status/1718745589897163136
Sun Oct 29 20:33:19 +0000 2023;1718727736171335756;"𝙋𝙍𝘼𝘽𝙊𝙒𝙊 𝙘𝙖𝙥𝙧𝙚𝙨 𝙩𝙚𝙧-𝙂𝙚𝙢𝙤𝙮 𝙨𝙚𝙖𝙡𝙖𝙢 𝙨𝙚𝙢𝙚𝙨𝙩𝙖  #prabowosubianto #PrabowoGibran #PrabowoGibran2024 #PrabowoAja  #pilpres #pemilu2024 #PrabowoforRI1 https://t.co/hLGb6ZD942";0;0;0;0;in;1096392611827306496;1718727736171335756;KedanPrabowo;https://twitter.com/KedanPrabowo/status/1718727736171335756
Sun Oct 29 19:50:49 +0000 2023;1718717043032404360;"Gaaas 2024 pilih Prabowo - Gibran untuk Indonesia Jaya🔥 #Prabowo #Patriotprabowo #prabowosangperekat #prabowosatria #prabowogibran #INDONESIAMAJU https://t.co/HGhayNP5gu";0;0;0;0;in;864821056305057792;1718717043032404360;lpoiqafh;https://twitter.com/lpoiqafh/status/1718717043032404360
Sun Oct 29 18:45:43 +0000 2023;1718700657031692514;"Berikut video Dangdutan yang diadakan ditengah kuburan atau pemakaman menjadi viral didunia maya  Kiky dan Luna Maya Kamar Wadas Beserta Fuji  #SalmaSalsabil #tenangsaja #ปอนด์ภูวินทร์ #anisd #Qatar #PrabowoGibran #TheCrown #selingkuh #AniesMuhaimin2024 #bertrandpeto #Sarwendah https://t.co/3ow3yi65TH";0;0;0;0;in;1682030682690957312;1718700657031692514;Bobsviral2;https://twitter.com/Bobsviral2/status/1718700657031692514
Sun Oct 29 18:45:41 +0000 2023;1718700649398091806;"Viral pria dipelaminan bareng 2 pengantin wanita, dikira poligami padahal ternyata ini penyebab nya.Kiky dan Luna Maya Kamar Wadas Beserta Fuji  #SalmaSalsabil #tenangsaja #ปอนด์ภูวินทร์ #anisd #Qatar #PrabowoGibran #TheCrown #selingkuh #AniesMuhaimin2024 #bertrandpeto #Sarwendah https://t.co/TXL3V6PjMr";0;0;0;0;in;1682030682690957312;1718700649398091806;Bobsviral2;https://twitter.com/Bobsviral2/status/1718700649398091806
Sun Oct 29 18:45:25 +0000 2023;1718700583836901435;"Ayu Ting-Ting pamer foto bareng Kak Jill, Tuai pujian bak artis korea  Kiky dan Luna Maya Kamar Wadas Beserta Fuji  #SalmaSalsabil #tenangsaja #ปอนด์ภูวินทร์ #anisd #Qatar #PrabowoGibran #TheCrown #selingkuh #AniesMuhaimin2024 #bertrandpeto #Sarwendah https://t.co/K6Mma1B0Q2";0;0;0;0;in;1682030682690957312;1718700583836901435;Bobsviral2;https://twitter.com/Bobsviral2/status/1718700583836901435
Sun Oct 29 18:12:15 +0000 2023;1718692234693153083;"pidio sependek ini aja berasa banget semangatnya 🔥🔥🔥  #Patriotprabowo #prabowosangperekat #prabowosatria #Prabowogibran #PrabowoGibran2024 #indonesiaterusmaju  #FreePalenstine";0;1;1;1;in;2806917333;1718692234693153083;wilfridmotrose;https://twitter.com/wilfridmotrose/status/1718692234693153083
Sun Oct 29 18:04:30 +0000 2023;1718690287483343154;"Emang pasangan paling kontroversi lah ini. Goks, maju terus pak Prabowo dan mas Gibran #Prabowo #Patriotprabowo #prabowosangperekat #prabowosatria #prabowogibran #INDONESIAMAJU https://t.co/gsEJJa94aU";0;0;0;0;in;3438624129;1718690287483343154;Bessieicj;https://twitter.com/Bessieicj/status/1718690287483343154
Sun Oct 29 18:02:23 +0000 2023;1718689751069593892;"@ILCTalkshow Paten.   #PrabowoGibran #MenangSatuPutaran https://t.co/sERuYYgJZK";0;0;0;0;es;89388403;1718529521291587866;topan_casper;https://twitter.com/topan_casper/status/1718689751069593892
Sun Oct 29 17:46:07 +0000 2023;1718685657709895776;"milenial yang katanya smart ko gabisa menilai orang ini dengan smart ya😂😂😂 anies masih di tuduh radikal intoleran, hadehhh milenial indo doang kayanya yang bebel otak nya  #AniesMuhaimin2024 #AniesPresiden2024 #PrabowoGibran #GanjarMahfud #AMINAjaDulu https://t.co/Gv2H1hWDhH";0;0;0;0;in;1588640621022965760;1718685657709895776;CFC_Birly;https://twitter.com/CFC_Birly/status/1718685657709895776
Sun Oct 29 17:34:43 +0000 2023;1718682789749686340;"@kumparan Makanya yg tua ngamuk dan ngak rela sumber korupsinya disetop, yg nyetop eh anak muda yg gak punya pengalaman "korupsi". #PrabowoGibran";0;0;0;0;in;4753128931;1718584110434906178;CosloveG;https://twitter.com/CosloveG/status/1718682789749686340
Sun Oct 29 17:08:30 +0000 2023;1718676192210178250;"Bersama @prabowo - @gibran_tweet. Akan menang satu putaran 💪💪💪 Kelihatan nya setelah ini Jatahnya Pak Prabowo - ujar Presiden @jokowi #indonesiamaju #prabowopresiden #indonesiakerja #gibran #jokowi #pemilu2024 #pemiludamai #tnipolri #prabowogibran #capresri #cakrasatya08 https://t.co/2ME2Vfnp77";0;0;0;0;in;1703062109775622145;1718676192210178250;CakraSatya08;https://twitter.com/CakraSatya08/status/1718676192210178250
Sun Oct 29 16:59:00 +0000 2023;1718673800852832285;"Bamsoet Terima Aspirasi Ormas Besar Untuk Kaji Ulang Hasil Amandemen UUD NRI 1945 #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/6GUkmonVE0";0;0;0;0;in;721898354502930433;1718673800852832285;golkarpedia;https://twitter.com/golkarpedia/status/1718673800852832285
Sun Oct 29 16:43:25 +0000 2023;1718669880915050629;"Tani Merdeka Dukung Prabowo Gibran #tanimerdeka #prabowogibran #blora #petaniblora";0;0;0;0;in;1598657294186983426;1718669880915050629;papera_pedagang;https://twitter.com/papera_pedagang/status/1718669880915050629
Sun Oct 29 16:43:09 +0000 2023;1718669811922907209;"Tani Merdeka Dukung Prabowo Gibran #tanimerdeka #prabowogibran #blora #petaniblora";0;0;0;0;in;1598657294186983426;1718669811922907209;papera_pedagang;https://twitter.com/papera_pedagang/status/1718669811922907209
Sun Oct 29 16:41:52 +0000 2023;1718669491545199024;"Tani Merdeka Dukung Prabowo Gibran #tanimerdeka #prabowogibran #blora #petaniblora";0;0;0;1;in;1598653678243975168;1718669491545199024;prabowopresid20;https://twitter.com/prabowopresid20/status/1718669491545199024
Sun Oct 29 16:41:42 +0000 2023;1718669447601520924;"Tani Merdeka Dukung Prabowo Gibran #tanimerdeka #prabowogibran #blora #petaniblora";0;0;0;0;in;1598653678243975168;1718669447601520924;prabowopresid20;https://twitter.com/prabowopresid20/status/1718669447601520924
Sun Oct 29 16:39:27 +0000 2023;1718668884117721473;"Tani Merdeka Dukung Prabowo Gibran #tanimerdeka #prabowogibran #blora #petaniblora https://t.co/3fbVnSoCbc";2;0;0;2;in;1392911246983241729;1718668884117721473;don_muzakir_;https://twitter.com/don_muzakir_/status/1718668884117721473
Sun Oct 29 16:11:05 +0000 2023;1718661744871288904;"@bachrum_achmadi @Fahrihamzah Y terserah warga lah mau pilih paslon yg mn,..yg jelas..KAMI SIAP DUKUNG #PRABOWOGIBRAN";0;0;0;0;in;1404326713572478978;1718578271221322024;MarupIrpanHilm2;https://twitter.com/MarupIrpanHilm2/status/1718661744871288904
Sun Oct 29 15:59:00 +0000 2023;1718658701882790354;"Ace Hasan Minta Sekjen PDIP Hasto Kristiyanto Tak Ungkit Lagi Isu 3 Periode: Sudah Usang! #airlanggahartarto #kuningkeren #PrabowoGibran #partaigolkar #golkarpedia https://t.co/W0ibraiJKe";0;0;0;0;in;721898354502930433;1718658701882790354;golkarpedia;https://twitter.com/golkarpedia/status/1718658701882790354
Sun Oct 29 15:34:36 +0000 2023;1718652563829281101;"Survei SMRC: Prabowo-Gibran Kokoh Ungguli Ganjar-Mahfud dan Anies-Imin #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/kMFCuG95Ea";0;0;0;0;in;1686229274532147200;1718652563829281101;Netizenn08;https://twitter.com/Netizenn08/status/1718652563829281101
Sun Oct 29 15:32:04 +0000 2023;1718651924256542949;"Gibran Mampu Menyentuh Kalangan Pemilih Muda. #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/1RAEDLKaq0";0;0;0;0;in;1686229274532147200;1718651924256542949;Netizenn08;https://twitter.com/Netizenn08/status/1718651924256542949
Sun Oct 29 15:30:44 +0000 2023;1718651588489916707;"Janji Prabowo-Gibran: Bentuk Badan Penerimaan Negara #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/nv1CAFBQt7";0;0;0;0;in;1686229274532147200;1718651588489916707;Netizenn08;https://twitter.com/Netizenn08/status/1718651588489916707
Sun Oct 29 15:29:51 +0000 2023;1718651365541781930;"Prabowo-Gibran Janji Naikkan Ganji ASN, TNI-Polri dan Pejabat. #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/l2lLbT3aF1";0;0;0;0;in;1686229274532147200;1718651365541781930;Netizenn08;https://twitter.com/Netizenn08/status/1718651365541781930
Sun Oct 29 15:28:50 +0000 2023;1718651111253700741;"Kompetensi Gibran, Fahri Hamzah: Saya Kira Anak Muda Tidak Boleh Meragukan Diri #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/GEhnXy8jhQ";0;0;0;0;in;1686229274532147200;1718651111253700741;Netizenn08;https://twitter.com/Netizenn08/status/1718651111253700741
Sun Oct 29 15:28:00 +0000 2023;1718650901995680086;"@kikysaputrii Salam PrabowoGibran.... tumbangkan buzzerpdip....";0;0;0;0;in;1189715504530722816;1718117122134708637;LautPaku;https://twitter.com/LautPaku/status/1718650901995680086
Sun Oct 29 15:25:19 +0000 2023;1718650224846287110;"Yusril Ihza Mahendra Siap Jadi 'Pendekar' Hukum Bagi Prabowo-Gibran. #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/7p0P1eT2da";0;0;0;0;in;1686229274532147200;1718650224846287110;Netizenn08;https://twitter.com/Netizenn08/status/1718650224846287110
Sun Oct 29 15:24:00 +0000 2023;1718649895366939063;"Riset Pemilih Muda Jatim, Pusat, Prabowo-Gibran Ungguli Ganjar-Mahfud dan Anies-Imin #Prabowo #PrabowoSubianto #PrabowoPresiden #PrabowoGibran #Pilpres2024 https://t.co/OxNsav7ZK1";0;0;0;0;in;1686229274532147200;1718649895366939063;Netizenn08;https://twitter.com/Netizenn08/status/1718649895366939063
