created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Oct 28 07:30:48 +0000 2023;1718168423388110864;"#TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #KPUMelayani #PemiluSerentak2024 https://t.co/FRYX8Xi1hI";0;0;0;0;in;1619933495954112514;1718168423388110864;Ppswonokerto_24;https://twitter.com/Ppswonokerto_24/status/1718168423388110864
Sat Oct 28 04:41:50 +0000 2023;1718125899345019226;"Link Download PDF visi dan misi Calon Presiden dan Wakil Presiden pada Pemilihan Umum Tahun 2024  https://t.co/vsTPExK5MQ";0;0;0;0;in;1339534545385746432;1718124640319725785;hanifmudotcom;https://twitter.com/hanifmudotcom/status/1718125899345019226
Sat Oct 28 04:36:50 +0000 2023;1718124640319725785;"Dokumen visi dan misi pasangan Calon Presiden dan Wakil Presiden pada Pemilihan Umum Tahun 2024  ~thread~";0;4;0;0;in;1339534545385746432;1718124640319725785;hanifmudotcom;https://twitter.com/hanifmudotcom/status/1718124640319725785
Sat Oct 28 03:15:00 +0000 2023;1718104046970589564;"Komisi Pemilihan Umum (KPU) masih memberikan waktu kepada tiga pasangan calon presiden (capres) dan calon wakil presiden (cawapres) untuk melengkapi tim kampanye. Batas akhir, tiga hari sebelum masuk masa kampanye Pemilu 2024.  #rakyatmerdeka https://t.co/ukbC7AoABy";0;0;0;0;in;1474011848118657029;1718104046970589564;_rakyatmerdeka;https://twitter.com/_rakyatmerdeka/status/1718104046970589564
Sat Oct 28 01:38:37 +0000 2023;1718079792988463236;"late post#Repost @kpu_ri —— kpu_ri #TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023. #KPUMelayani #PemiluSerentak2024 https://t.co/T0SWMrKtdA";0;0;0;0;in;1689887929454477312;1718079792988463236;Ppsdesacikul01;https://twitter.com/Ppsdesacikul01/status/1718079792988463236
Fri Oct 27 23:01:01 +0000 2023;1718040130794164519;"#TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #KPUMelayani #PemiluSerentak2024 #ppsdesaruwit https://t.co/yba4gUvg0V";0;0;0;0;in;1443712622499545105;1718040130794164519;ARuwit;https://twitter.com/ARuwit/status/1718040130794164519
Fri Oct 27 21:15:31 +0000 2023;1718013580665368964;"#TemanPemilih, Repost @KPU_ID inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #ppkbutuh2024 #kpupurworejo #KPUMelayani #PemiluSerentak2024 https://t.co/C1MDERA3qh";0;0;0;0;in;1611694210104832000;1718013580665368964;ppkbutuh2024;https://twitter.com/ppkbutuh2024/status/1718013580665368964
Fri Oct 27 15:19:36 +0000 2023;1717924012796662253;"#repostedfrom @KPU_ID  #TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #KPUMelayani #PemiluSerentak2024 https://t.co/1EgQ40nImU";0;0;0;0;in;3328164398;1717924012796662253;kpukebumen;https://twitter.com/kpukebumen/status/1717924012796662253
Fri Oct 27 15:06:36 +0000 2023;1717920739171446959;"Keputusan KPU Nomor 1377 Tahun 2023 tentang Penetapan Rumah Sakit sebagai Tempat Pelaksanaan Pemeriksaan Kesehatan Bakal Calon Presiden dan Wakil Presiden Dalam Pemilihan Umum Tahun 2024  Link : https://t.co/M5uuovfGvO  Terima kasih https://t.co/CJeN26fFGT";0;0;0;0;in;1677124861976788992;1717920739171446959;SubbagS77163;https://twitter.com/SubbagS77163/status/1717920739171446959
Fri Oct 27 15:05:36 +0000 2023;1717920490378129891;"Keputusan KPU Nomor 1378 Tahun 2023 tentang Pedoman Teknis Pendaftaran, Verifikasi, dan Penetapan Pasangan Calon Presiden dan Wakil Presiden Dalam Pemilihan Umum Tahun 2024  Link : https://t.co/KKGAr1YHkh  Terima kasih https://t.co/DDkpYms7Ts";0;0;0;0;in;1677124861976788992;1717920490378129891;SubbagS77163;https://twitter.com/SubbagS77163/status/1717920490378129891
Fri Oct 27 15:04:55 +0000 2023;1717920317677732151;"Keputusan KPU Nomor 1387 Tahun 2023 tentang Perubahan atas Keputusan Komisi Pemilihan Umum Nomor 1374 Tahun 2023 tentang Pedoman Teknis Pemeriksaan Kesehatan Bakal Calon Presiden dan Wakil Presiden Dalam Pemilihan Umum Tahun 2024  Link : https://t.co/W4gZlKQhmo  Terima kasih https://t.co/BmC1Z1cpvH";0;0;0;0;in;1677124861976788992;1717920317677732151;SubbagS77163;https://twitter.com/SubbagS77163/status/1717920317677732151
Fri Oct 27 14:15:00 +0000 2023;1717907753664950582;"Tim dokter RSPAD Gatot Subroto, Jakarta, pada Jumat (27/10/2023) siang menyerahkan hasil tes kesehatan tiga bakal pasangan calon presiden dan wakil presiden 2024 ke Komisi Pemilihan Umum. #VideoBerita #AdadiKompas   https://t.co/ETR2SgUvtH";0;0;0;2;in;255866913;1717907753664950582;hariankompas;https://twitter.com/hariankompas/status/1717907753664950582
Fri Oct 27 14:00:02 +0000 2023;1717903986844398020;"Putri Presiden ke-4 RI, Abdurrahman Wahid atau Gus Dur, Yenny Wahid resmi mendeklarasikan dukungan untuk pasangan bakal calon presiden dan wakil presiden Ganjar Pranowo-Mahfud MD di pemilihan presiden 2024. MYF  #Pilpres2024 #Mahfud #Ganjar https://t.co/mRF7B5RN4j";0;1;1;1;in;132078023;1717903986844398020;officialinews_;https://twitter.com/officialinews_/status/1717903986844398020
Fri Oct 27 13:56:26 +0000 2023;1717903083622260785;"Mandung, 26 Oktober 2023  Update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023. https://t.co/14Iayvq7XX";0;0;0;1;in;1631507530630455296;1717903083622260785;MandungPps;https://twitter.com/MandungPps/status/1717903083622260785
Fri Oct 27 13:44:17 +0000 2023;1717900023227437464;"Reposted • @kpu_ri #TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #KPUMelayani #PemiluSerentak2024 https://t.co/O4aGHQmO8s";0;0;0;0;in;1054016181336596480;1717900023227437464;BarosPpk;https://twitter.com/BarosPpk/status/1717900023227437464
Fri Oct 27 11:52:59 +0000 2023;1717872015728935129;"#TemanPemilih, inilah update Pendaftaran Bakal Pasangan Calon Presiden dan Wakil Presiden Pemilihan Umum Tahun 2024, hingga Rabu tanggal 25 Oktober 2023.  #KPUMelayani #PemiluSerentak2024 https://t.co/VMZGgG93or";0;0;0;0;in;1630844259665592321;1717872015728935129;ppsbismo;https://twitter.com/ppsbismo/status/1717872015728935129
Fri Oct 27 11:32:25 +0000 2023;1717866840180092979;"KETUA Komisi Pemilihan Umum (KPU) RI Hasyim Asy'ari menegaskan seluruh  bakal pasangan calon presiden (capres) dan calon wakil presiden  (cawapres) saat ini belum resmi menjadi peserta Pemilu 2024.   Sumber: https://t.co/Ulcfm1UlCB";0;0;0;1;in;68930552;1717866840180092979;mediaindonesia;https://twitter.com/mediaindonesia/status/1717866840180092979
