publishedAt,authorDisplayName,textDisplay,likeCount
2023-11-01T07:53:35Z,Arie Suhari,Indonesia yakin akan lebih hebat di pimpin oleh ke dua orang cerdas sm Pak Ganjar jg Pak Mahfud... Buka barisan dan kita sellu merapat untuk mmngkan pilpres 2024 nanti,0
2023-11-01T05:53:53Z,Bangun Napitupulu,Yg penting pilihan presidenku hrs orang Jawa...,0
2023-10-31T15:15:35Z,Julik plaranto Anto,"Pk Ganjar ini anggota DPR RI mulai 2004,rumor anggota DPR RI sarang koropsi",0
2023-10-31T13:55:58Z,Nirwan Hasni,Hebat hebat klu omon .sedikit2 atas nm rakyat padahal. Masarakat sdh muak dengan janji2 sdh basih😅😅😅😅😅😅,0
2023-10-31T11:58:04Z,Sukiran Ran,Pas pemilu blk ksmpung typ coblos brabowo,0
2023-10-31T10:46:07Z,Dukun Palsu 4.0,Menikmati kemenangan bersama giliran waktunya tempur malah ribut sekandang....... Hawatir nanti menang kembali lagi fokus berebut kotak kardus roti,0
2023-10-31T06:47:03Z,Kismanto Toto,Haqul yakin Ganjar Mahfud menang,1
2023-10-31T02:09:37Z,Remix`Jo ,Semangat pak Ganjar. Semoga Prabowo menang. Amin🤗,0
2023-10-30T16:37:34Z,Muhammad Azis,Satu satunya capres paling masuk akal. Apalagi kl capres nya dibalik. Yg ptg jgn pilih pengkhianat. Udah bodoh kurang pengalaman plonga plongo gak tau malu lg. Msh wibawa hewan,0
2023-10-30T11:33:10Z,raina,Sya ttp dkg pak gnjar Mahfud,0
2023-10-30T02:27:43Z,Chenel ANUGERAH ,"Sy juga yakin pak Ganjar Pranowo pasti 60,20% telak",0
2023-10-29T05:04:23Z,Hendriyani Ashari,💪💪💪 Pak GANJAR untuk 🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🇮🇩🙋❤️❤️❤️❤️,0
2023-10-29T01:40:51Z,Liicen Ambarita,"Satu putaran. Ganjar, Mahfud menang. 👍",1
2023-10-29T00:51:48Z,M Attar,Saya dukung Anies,0
2023-10-28T23:05:06Z,Asep Wanwan,"tdk ada capres/cawapres yg buat fakta integritas : siap dihukum mati bila korupsi &amp; siap dipenjara bila rakyat sengsara, berlaku buat para menteri, semua instansi &amp; DPR / D pasti itu calon yg punya itikad baik &amp; pasti akan saya pilih, kalo tdk ada ? semua BOHONG percayalah ....",0
