publishedAt,authorDisplayName,textDisplay,likeCount
2023-10-31T00:01:43Z,4LDHY3 BL4CK,2 periode kmrn q pilih Prabowo..karena wakilx skrg gibran saya g pilih Prabowo lagi,0
2023-10-30T20:52:34Z,apps dasok,Paten pak wo,0
2023-10-30T15:19:25Z,maisa Mudrikah,Paten tp pemenangnya ganjar mahfud woooo,0
2023-10-30T15:06:05Z,Info News Rusia,"yg kurang di tegakkan, makanya korupsi merajalela. Siapa yg memberi harapan besar meluruskan hukum? <br>Siapa lagi kalau bukan pak Mahfud...berantas koruptor yg jadi penyakit negara kita. Jangan asal pilih karena fanatik. Karena fanatik itu membodohkanmu.",0
2023-10-30T12:11:06Z,Bagus Soek,Kalian tau apa soal politik😂,0
2023-10-30T05:50:03Z,jawiro wiro,pa bowo ga perlu cawapres berpengalaman yg penting punya suara dan menang...anak kemaren sore mau mimp. para jendral😂😂..,0
2023-10-30T02:49:44Z,Ety Murly,Alhamdulillah Dukung Penuh Prabowo Gibran,0
2023-10-29T18:28:56Z,Rafi Dh,KOMENTAR W CUMA INI<br>( KASIAN PAK PRABOWO. ),0
2023-10-29T15:23:34Z,Anjas Pratama,Gak paten Smoga kalah,0
2023-10-29T11:52:29Z,Mikasa 123,Saya milih Prabowo- Gibran. Karena ada ketauan pihak kubu Ganjar bagi2 uang/sbako buat milih dia dengan kasih ft KTP kita. Plis deh liaht fakta,0
2023-10-29T09:31:30Z,Raika Villi,Dulu sya pilih brabowo.untuk sekarang tidak.karna cawapresnya gk mutu,0
2023-10-29T09:30:48Z,Raika Villi,Ogah gua milih prabowo.caparesnya anak si plongo,0
2023-10-29T06:04:18Z,Ir. Ari Rahardjo,"Partai kalau mendatangkan rakyat kampanye  pasti di kasih uang Rp. 100 - 200.000, padahal Menteri bersama dengan Partai korupsi sampai Triliunan uang dari pajak rakyat.???????",2
2023-10-29T03:33:20Z,lydya juanita,Prabowo Gibran next President &amp; wapres ❤.,0
2023-10-29T01:35:16Z,Yadi Mulyadi,Saya suka pasangan pragi,0
2023-10-29T01:02:09Z,Thedee,Anak ingusan dinasti 😅,0
2023-10-29T01:01:09Z,Ipuk Bancak,"Saya blunder tdiny ke pak prabowo,selama 2 periode,skrng saya milih anis ,klo gak ganjar",1
2023-10-29T00:02:34Z,Helena Napitupulu,Patennn❤,0
2023-10-28T07:48:47Z,arjuna3780,Bocil Politik Buzuk : &quot;Makasih Paman..Nanti Menangkan kami saat sengketa hasil Pilpres di MK Ya Paman..❤ You Paman&quot;😂😂😂,2
2023-10-28T04:17:28Z,Opan 11,buah jatu ga bakal jauh dari pohon nya. haha udah ragu pilih prabowo yg tadinya semangat dukung,0
2023-10-28T00:30:45Z,Rendi Yosan,"Harusnya Pak Prabowo bisa bijaksana, dengan menolak usungan Cawapres dari hasil putusan MK yang tergesa gesa.",3
2023-10-26T10:59:43Z,Wayan Mariana,Gak bahaya ta 😂😂😂.,0
2023-10-26T00:17:32Z,Asrul Araha,Apa pun yang anda katakan tentang beliau saya tetap Prabowo,1
2023-10-25T15:47:21Z,Saderach WP,GaMa is the best,0
2023-10-25T13:30:06Z,Dani Begok Amat,Serigala Tua yg sangat berambisi dan Kamu Gibran karena Bapakmu dan Pamanmu yg mempermudah begitu kamu merasa bangga kayak kamu mewakili semua generasi Milenial ? Generasi Milenial berdikari diatas kakinya sendiri !!!!!!!!!!!!!!!,0
2023-10-25T12:29:44Z,Andi Hasibuan,Kompas ganjarist,0
2023-10-25T12:21:19Z,Ustadz Ustadz,Salah menafsirkan bang toto.,0
2023-10-25T12:06:33Z,Suyani Sulaiman,"Kamu itu gandeng sama siapa saja ,tetap kalah wowo ,",0
2023-10-25T12:01:32Z,Tekekmrembet#,Samgat salah bong 👺💀👺,0
2023-10-25T11:44:58Z,andri nurdin,Salah pilih cawapres😂😂😂,0
2023-10-25T11:40:31Z,Gono Kompet,Saya tetap yang sudah jelas kerjanya. Gama,2
2023-10-25T11:38:01Z,Ju Ginting,Lo Wo manusia kemaruk....Gibran sdh jadi Kebo Ijo,0
