created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Nov 01 07:06:28 +0000 2023;1719611848650359068;"Ganjar Pranowo komitmen siapkan generasi adiptif lewat pendidikan berkualitas  #GanjarMahfud2024  #GanjarDicintaiRakyatRI  #GanjarMahfud https://t.co/tczQ6rECIM";0;0;0;0;in;1357054286060953600;1719611848650359068;PrawijayaRenata;https://twitter.com/PrawijayaRenata/status/1719611848650359068
Wed Nov 01 07:05:43 +0000 2023;1719611660472897802;"@ganjarpranowo @ganjarpranowo Yang ini baru pemuda sukses.GanjarMahfud";0;0;0;0;in;1709738335684698112;1719585319245525034;ningsih_ai67008;https://twitter.com/ningsih_ai67008/status/1719611660472897802
Wed Nov 01 07:04:57 +0000 2023;1719611469019619568;"Mahfud MD miliki keilmuan, kepakaran, integritas, dan dedikasi yang sudah teruji. Dia merupakan aset yang tak dimiliki calon lainnya. #ProfMahfud #MahfudMD #CawapresTerbaik #GanjarMahfud https://t.co/6eloUswF8y";0;0;0;0;in;1681649685977796608;1719611469019619568;BraxDamaya;https://twitter.com/BraxDamaya/status/1719611469019619568
Wed Nov 01 07:04:41 +0000 2023;1719611399490707583;"Mahfud MD miliki keilmuan, kepakaran, integritas, dan dedikasi yang sudah teruji. Dia merupakan aset yang tak dimiliki calon lainnya. #ProfMahfud #MahfudMD #CawapresTerbaik #GanjarMahfud https://t.co/2lNYIayc0D";0;0;0;0;in;1681637818312052736;1719611399490707583;sunanum96;https://twitter.com/sunanum96/status/1719611399490707583
Wed Nov 01 07:02:53 +0000 2023;1719610947818627569;"OMG Riau|| Bantuan Sahabat Tani OMG Riau Part II 2023 #ganjar2024 #ganjarforpresiden2024 #omg2024 #GanjarMahfud #FreePalenstine https://t.co/PvYiC8qLXa";0;0;0;0;in;1659199879934259202;1719610947818627569;omg_riau;https://twitter.com/omg_riau/status/1719610947818627569
Wed Nov 01 07:02:21 +0000 2023;1719610815412903959;"Rahajeng Rawuh Di Bali Ganjar Pranowo.  Ganjar disambut ribuan pendukungnya dari berbagai kalangan.  Ayoo rapatkan barisan tuk GanjarMahfud https://t.co/wL1uyFviFC";0;1;3;2;in;1057158238779539456;1719610815412903959;catatankaqihati;https://twitter.com/catatankaqihati/status/1719610815412903959
Wed Nov 01 06:58:09 +0000 2023;1719609756329886143;"Ganjar Pranowo turut menghadiri Haul ke -35 KH.Muhammad Hisyam Abdul Karim atau Mbah Hisyam, di Pondok Pesantren Roudhlotus Sholichin Sholichat .#GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Bram0111 https://t.co/8gr6Kgf2io";0;0;0;0;in;2590887757;1719609756329886143;spenceresmer201;https://twitter.com/spenceresmer201/status/1719609756329886143
Wed Nov 01 06:57:31 +0000 2023;1719609597915177165;"Ponpes Roundhlotus Sholichin Sholichat mengadakan Haul yang ke-35. Tak lupa Pak Ganjar Pranowo turut serta karna beliau kakek mertua dari Ganjar Pranowo.#GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Bram0111 https://t.co/86zqfGq3eY";0;0;0;0;in;2647026376;1719609597915177165;CredzImvu;https://twitter.com/CredzImvu/status/1719609597915177165
Wed Nov 01 06:57:19 +0000 2023;1719609546916663421;"Calon presiden Ganjar Pranowo dan Istri Siti Atikoh menghadiri Haul ke -35 KH.Muhammad Hisyam Abdul Karim atau Mbah Hisyam. #GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Bram0111 https://t.co/kVuDJmJNOQ";0;0;0;0;in;2591196823;1719609546916663421;Jhuris_08;https://twitter.com/Jhuris_08/status/1719609546916663421
Wed Nov 01 06:57:17 +0000 2023;1719609540377751853;"Ganjar Pranowo turut menghadiri Haul ke -35 KH.Muhammad Hisyam Abdul Karim atau Mbah Hisyam, di Pondok Pesantren Roudhlotus Sholichin Sholichat .#GanjarPranowo #GanjarMahfud #GanjarPranowoPilihanUmat #JNK #TemanAlamGanjar #AtikohIbuNegara #Bram0111 https://t.co/huE2zZGKDK";0;0;0;0;in;2592050522;1719609540377751853;owais_sindhi;https://twitter.com/owais_sindhi/status/1719609540377751853
